START | Pos: [16.63148, 0.19811, -11.30976] | Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [16.3815, 0.1981, -11.3098], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [16.1315, 0.1981, -11.3098], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [15.8815, 0.1981, -11.3098], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [15.8815, 0.1981, -11.3098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.6650, 0.1981, -11.4348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.4485, 0.1981, -11.5598], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.2320, 0.1981, -11.6848], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.0155, 0.1981, -11.8098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [14.7989, 0.1981, -11.9348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [14.7989, 0.1981, -11.9348], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [14.5489, 0.1981, -11.9348], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [14.2989, 0.1981, -11.9348], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [14.0489, 0.1981, -11.9348], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [13.7989, 0.1981, -11.9348], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [13.5489, 0.1981, -11.9348], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [13.5489, 0.1981, -11.9348], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [13.5489, 0.1981, -11.9348], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [13.5489, 0.1981, -11.9348], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
