START | Pos: [-1.2893, 0.1912, -4.75057] | Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-1.2893, 0.1912, -4.7506], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-1.2893, 0.1912, -4.7506], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-1.2893, 0.1912, -4.7506], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-1.2893, 0.1912, -4.7506], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.5058, 0.1912, -4.6256], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-1.5058, 0.1912, -4.6256], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.7558, 0.1912, -4.6256], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.0058, 0.1912, -4.6256], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.2558, 0.1912, -4.6256], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.5058, 0.1912, -4.6256], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.7558, 0.1912, -4.6256], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-3.0058, 0.1912, -4.6256], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-3.0058, 0.1912, -4.6256], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-3.2223, 0.1912, -4.7506], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-3.4388, 0.1912, -4.8756], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-3.4388, 0.1912, -4.8756], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-3.4388, 0.1912, -4.8756], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-3.4388, 0.1912, -4.8756], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-3.4388, 0.1912, -4.8756], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-3.4388, 0.1912, -4.8756], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-3.4388, 0.1912, -4.8756], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-3.4388, 0.1912, -4.8756], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-3.4388, 0.1912, -4.8756], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-3.2223, 0.1912, -5.0006], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-3.2223, 0.1912, -5.0006], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-3.2223, 0.1912, -5.0006], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-3.2223, 0.1912, -5.0006], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-3.2223, 0.1912, -5.0006], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-3.2223, 0.1912, -5.0006], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-3.2223, 0.1912, -5.0006], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-3.2223, 0.1912, -5.0006], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-3.3473, 0.1912, -4.7841], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
