START | Pos: [-9.49727, 0.19156, 2.8449] | Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-9.4973, 0.1916, 2.8449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-9.7473, 0.1916, 2.8449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-9.9973, 0.1916, 2.8449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-10.2473, 0.1916, 2.8449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-10.4973, 0.1916, 2.8449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-10.7473, 0.1916, 2.8449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-10.9973, 0.1916, 2.8449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-11.2473, 0.1916, 2.8449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-11.2473, 0.1916, 2.8449], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-11.2473, 0.1916, 2.8449], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-11.2473, 0.1916, 2.8449], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-11.2473, 0.1916, 2.8449], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-11.2473, 0.1916, 2.8449], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-11.2473, 0.1916, 2.8449], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.9973, 0.1916, 2.8449], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.7473, 0.1916, 2.8449], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.4973, 0.1916, 2.8449], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.2473, 0.1916, 2.8449], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.9973, 0.1916, 2.8449], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.7473, 0.1916, 2.8449], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-9.7473, 0.1916, 2.8449], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-9.5308, 0.1916, 2.7199], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-9.5308, 0.1916, 2.7199], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.2808, 0.1916, 2.7199], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-9.2808, 0.1916, 2.7199], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-9.0643, 0.1916, 2.8449], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-8.8478, 0.1916, 2.9699], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-8.6312, 0.1916, 3.0949], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
