START | Pos: [15.35879, 0.7, 5.39613] | Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [15.3588, 0.7000, 5.3961], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.1423, 0.7000, 5.2711], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.9258, 0.7000, 5.1461], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [14.7093, 0.7000, 5.0211], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [14.9593, 0.7000, 5.0211], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [15.2093, 0.7000, 5.0211], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [15.4593, 0.7000, 5.0211], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
stop, Pos: [15.4593, 0.7000, 5.0211], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
