START | Pos: [7.15886, -0.16933, -2.1896] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1589, -0.1693, -1.9396], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.1589, -0.1693, -1.6896], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [7.1589, -0.1693, -1.6896], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [7.0339, -0.1693, -1.4731], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [7.0339, -0.1693, -1.4731], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [7.0339, -0.1693, -1.2231], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [7.0339, -0.1693, -1.2231], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [6.9089, -0.1693, -1.0066], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [6.9089, -0.1693, -1.0066], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [6.9089, -0.1693, -0.7566], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [6.9089, -0.0705, -0.5066], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [6.9089, -0.0705, -0.5066], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [6.7840, -0.0981, -0.2901], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [6.7840, -0.0981, -0.2901], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.5675, -0.1565, -0.1651], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.3510, -0.2148, -0.0400], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [6.1345, -0.2175, 0.0850], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [5.9180, -0.2314, 0.2100], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [5.7015, -0.2580, 0.3350], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [5.4850, -0.2846, 0.4600], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [5.2685, -0.2942, 0.5850], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [5.0520, -0.2845, 0.7100], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [4.8355, -0.2748, 0.8350], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [4.6190, -0.2853, 0.9600], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [4.6190, -0.2853, 0.9600], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [4.6190, -0.2853, 0.9600], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [4.6190, -0.2853, 0.9600], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [4.6190, -0.2853, 0.9600], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [4.6190, -0.2853, 0.9600], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [4.7439, -0.2661, 0.7435], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [4.7439, -0.2661, 0.7435], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [4.9604, -0.2758, 0.6185], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [5.1769, -0.2855, 0.4935], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [5.3934, -0.2789, 0.3685], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [5.3934, -0.2789, 0.3685], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [5.6434, -0.2651, 0.3685], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [5.6434, -0.2651, 0.3685], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [5.8599, -0.2385, 0.2435], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [5.8599, -0.2385, 0.2435], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [6.1099, -0.2344, 0.2435], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
