START | Pos: [-4.21486, 0.21325, -3.33832] | Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-4.3399, 0.2132, -3.1218], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-4.4649, 0.2132, -2.9053], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-4.5899, 0.2132, -2.6888], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-4.7149, 0.2132, -2.4723], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-4.7149, 0.2132, -2.4723], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-4.9314, 0.2132, -2.3473], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-4.9314, 0.2132, -2.3473], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.0564, 0.2132, -2.1308], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-5.0564, 0.2132, -2.1308], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-5.2729, 0.2132, -2.0058], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-5.2729, 0.2132, -2.0058], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.3979, 0.2132, -1.7893], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-5.3979, 0.2132, -1.7893], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-5.3979, 0.2132, -1.7893], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-5.3979, 0.2132, -1.7893], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-5.3979, 0.2132, -1.7893], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-5.1479, 0.2132, -1.7893], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-4.8979, 0.2132, -1.7893], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-4.6479, 0.2132, -1.7893], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-4.3979, 0.2132, -1.7893], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-4.1479, 0.2132, -1.7893], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-3.8979, 0.2132, -1.7893], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-3.6479, 0.2132, -1.7893], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-3.3979, 0.2132, -1.7893], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-3.3979, 0.2132, -1.7893], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-3.3979, 0.2132, -1.7893], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-3.3979, 0.2132, -1.7893], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-3.3979, 0.2132, -1.7893], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-3.3979, 0.2132, -1.7893], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-3.3979, 0.2132, -1.7893], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-3.3979, 0.2132, -1.7893], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-3.6144, 0.2132, -1.9143], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
stop, Pos: [-3.6144, 0.2132, -1.9143], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
