START | Pos: [-3.11759, 0.19118, -1.75868] | Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.9926, 0.1912, -1.9752], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.8676, 0.1912, -2.1917], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.7426, 0.1912, -2.4082], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.6176, 0.1912, -2.6247], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.4926, 0.1912, -2.8412], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.3676, 0.1912, -3.0577], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.2426, 0.1912, -3.2742], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.1176, 0.1912, -3.4907], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-1.9926, 0.1912, -3.7072], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-1.8676, 0.1912, -3.9237], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-1.7426, 0.1912, -4.1402], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-1.6176, 0.1912, -4.3568], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-1.6176, 0.1912, -4.3568], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-1.4011, 0.1912, -4.4818], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-1.1846, 0.1912, -4.6068], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-1.1846, 0.1912, -4.6068], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-1.0596, 0.1912, -4.8233], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-1.0596, 0.1912, -4.8233], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-0.8431, 0.1912, -4.9483], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-0.8431, 0.1912, -4.9483], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.7181, 0.1912, -5.1648], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.5931, 0.1912, -5.3813], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.4681, 0.1912, -5.5978], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.3431, 0.1912, -5.8143], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.2181, 0.1912, -6.0308], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.0931, 0.1912, -6.2473], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-0.0931, 0.1912, -6.2473], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [-0.0931, 0.1912, -6.4973], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-0.0931, 0.1912, -6.4973], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-0.0931, 0.1912, -6.4973], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.3096, 0.1912, -6.6223], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.5261, 0.1912, -6.7473], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.7426, 0.1912, -6.8723], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.9591, 0.1912, -6.9973], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.1756, 0.1912, -7.1223], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.3921, 0.1912, -7.2473], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.6086, 0.1912, -7.3723], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.8251, 0.1912, -7.4973], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-2.0416, 0.1912, -7.6223], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
