START | Pos: [4.30698, 0.19388, -4.34907] | Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [4.3070, 0.1939, -4.3491], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [4.3070, 0.1939, -4.3491], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [4.3070, 0.1939, -4.3491], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [4.3070, 0.1939, -4.3491], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [4.3070, 0.1939, -4.3491], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [4.3070, 0.1939, -4.3491], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [4.3070, 0.1939, -4.3491], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [4.3070, 0.1939, -4.0991], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [4.3070, 0.1939, -4.0991], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [4.3070, 0.1939, -4.0991], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [4.3070, 0.1939, -4.0991], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [4.3070, 0.1939, -4.0991], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [4.3070, 0.1939, -4.0991], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [4.3070, 0.1939, -4.0991], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [4.3070, 0.1939, -4.0991], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [4.3070, 0.1939, -4.0991], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [4.3070, 0.1939, -4.0991], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [4.3070, 0.1939, -4.0991], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [4.3070, 0.1939, -4.0991], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [4.4320, 0.1939, -3.8826], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [4.4320, 0.1939, -3.8826], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [4.4320, 0.1939, -3.8826], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [4.4320, 0.1939, -3.8826], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [4.4320, 0.1939, -3.8826], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [4.4320, 0.1939, -3.8826], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [4.4320, 0.1939, -3.8826], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [4.4320, 0.1939, -3.8826], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [4.4320, 0.1939, -3.8826], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [4.4320, 0.1939, -3.8826], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [4.4320, 0.1939, -3.8826], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [4.4320, 0.1939, -3.8826], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [4.6485, 0.1939, -3.7576], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [4.6485, 0.1939, -3.7576], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [4.6485, 0.1939, -3.7576], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [4.6485, 0.1939, -3.7576], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [4.5235, 0.1939, -3.5411], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [4.5235, 0.1939, -3.5411], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [4.5235, 0.1939, -3.5411], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [4.5235, 0.1939, -3.5411], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [4.5235, 0.1939, -3.5411], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [4.5235, 0.1939, -3.5411], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [4.5235, 0.1939, -3.5411], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [4.5235, 0.1939, -3.5411], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [4.5235, 0.1939, -3.5411], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [4.5235, 0.1939, -3.5411], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [4.5235, 0.1939, -3.5411], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [4.6485, 0.1939, -3.3246], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
