START | Pos: [-4.80357, 0.09346, -2.25304] | Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-5.0201, 0.0935, -2.3780], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-5.0201, 0.0935, -2.3780], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-5.1451, 0.0935, -2.5945], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-5.1451, 0.0935, -2.5945], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [-5.1451, 0.0935, -2.5945], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-5.1451, 0.0935, -2.5945], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-5.1451, 0.0935, -2.5945], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-5.1451, 0.0935, -2.5945], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-5.1451, 0.0935, -2.5945], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-5.1451, 0.0935, -2.5945], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-5.1451, 0.0935, -2.5945], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-5.1451, 0.0935, -2.5945], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-5.1451, 0.0935, -2.5945], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-5.1451, 0.0935, -2.5945], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-5.1451, 0.0935, -2.5945], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-5.1451, 0.0935, -2.5945], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-5.1451, 0.0935, -2.5945], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-5.1451, 0.0935, -2.5945], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.9286, 0.0935, -2.4695], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-4.9286, 0.0935, -2.4695], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-4.9286, 0.0935, -2.4695], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-4.9286, 0.0935, -2.4695], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-4.8036, 0.0935, -2.6861], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-4.8036, 0.0935, -2.6861], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-4.8036, 0.0935, -2.6861], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-4.8036, 0.0935, -2.6861], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-4.8036, 0.0935, -2.6861], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-4.8036, 0.0935, -2.6861], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [-4.8036, 0.0935, -2.6861], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-4.8036, 0.0935, -2.6861], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-5.0201, 0.0935, -2.5611], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-5.0201, 0.0935, -2.5611], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-5.0201, 0.0935, -2.5611], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-5.0201, 0.0935, -2.5611], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-5.0201, 0.0935, -2.5611], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [-5.0201, 0.0935, -2.5611], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-5.0201, 0.0935, -2.5611], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-5.0201, 0.0935, -2.5611], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-4.7701, 0.0935, -2.5611], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-4.7701, 0.0935, -2.5611], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-4.7701, 0.0935, -2.5611], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-4.7701, 0.0935, -2.5611], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-4.7701, 0.0935, -2.5611], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-4.7701, 0.0935, -2.5611], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-4.7701, 0.0935, -2.5611], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-4.7701, 0.0935, -2.5611], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-4.7701, 0.0935, -2.5611], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-4.7701, 0.0935, -2.5611], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-4.7701, 0.0935, -2.5611], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-4.7701, 0.0935, -2.5611], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-4.5536, 0.0935, -2.4361], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-4.5536, 0.0935, -2.4361], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-4.5536, 0.0935, -2.4361], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-4.5536, 0.0935, -2.4361], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-4.4286, 0.0935, -2.6526], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-4.4286, 0.0935, -2.6526], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-4.4286, 0.0935, -2.6526], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-4.4286, 0.0935, -2.6526], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-4.4286, 0.0935, -2.6526], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-4.4286, 0.0935, -2.6526], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.6451, 0.0935, -2.7776], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.8616, 0.0935, -2.9026], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-5.0781, 0.0935, -3.0276], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-5.0781, 0.0935, -3.0276], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-5.3281, 0.0935, -3.0276], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-5.5781, 0.0935, -3.0276], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-5.8281, 0.0935, -3.0276], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-5.8281, 0.0935, -3.0276], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-5.8281, 0.0935, -3.0276], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-5.8281, 0.0935, -3.0276], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-5.8281, 0.0935, -3.0276], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-5.8281, 0.0935, -3.0276], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-5.8281, 0.0935, -3.0276], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-5.8281, 0.0935, -3.0276], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-5.6116, 0.0935, -2.9026], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-5.8281, 0.0935, -3.0276], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-6.0446, 0.0935, -3.1526], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-6.0446, 0.0935, -3.1526], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-6.0446, 0.0935, -3.1526], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [-6.0446, 0.0935, -3.1526], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-6.0446, 0.0935, -3.1526], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-6.0446, 0.0935, -3.1526], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-5.7946, 0.0935, -3.1526], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-5.5446, 0.0935, -3.1526], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-5.2946, 0.0935, -3.1526], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-5.0781, 0.0935, -3.0276], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-5.0781, 0.0935, -3.0276], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-5.0781, 0.0935, -3.0276], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-5.0781, 0.0935, -3.0276], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-5.0781, 0.0935, -3.0276], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [-5.0781, 0.0935, -3.0276], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-5.0781, 0.0935, -3.0276], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-5.0781, 0.0935, -3.0276], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-5.0781, 0.0935, -3.0276], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-5.0781, 0.0935, -3.0276], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-5.0781, 0.0935, -3.0276], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-5.0781, 0.0935, -3.0276], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.2031, 0.0935, -2.8111], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-5.2031, 0.0935, -2.8111], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.2031, 0.0935, -2.5611], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.2031, 0.0935, -2.3111], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.2031, 0.0935, -2.0611], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.2031, 0.0935, -1.8111], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.2031, 0.0935, -1.5611], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.2031, 0.0935, -1.3111], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.2031, 0.0935, -1.0611], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.2031, 0.0935, -0.8111], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.2031, 0.0935, -0.5611], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.2031, 0.0935, -0.3111], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
