START | Pos: [-9.11482, 0.18403, -9.8238] | Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-9.1148, 0.1840, -9.8238], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-9.1148, 0.1840, -9.8238], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-9.1148, 0.1840, -9.8238], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-9.1148, 0.1840, -9.8238], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-8.9898, 0.1840, -9.6073], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-8.8648, 0.1840, -9.3908], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-8.7398, 0.1840, -9.1743], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-8.6148, 0.1840, -8.9578], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-8.4898, 0.1840, -8.7413], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-8.3648, 0.1840, -8.5248], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-8.2398, 0.1840, -8.3083], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-8.1148, 0.1840, -8.0918], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-7.9898, 0.1840, -7.8752], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-7.8648, 0.1840, -7.6587], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-7.7398, 0.1840, -7.4422], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-7.6148, 0.1840, -7.2257], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-7.4898, 0.1840, -7.0092], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-7.3648, 0.1840, -6.7927], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-7.2398, 0.1840, -6.5762], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-7.1148, 0.1840, -6.3597], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-6.9898, 0.1840, -6.1432], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-6.8648, 0.1840, -5.9267], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-6.7398, 0.1840, -5.7102], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-6.6148, 0.1840, -5.4937], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
stop, Pos: [-6.6148, 0.1840, -5.4937], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
