START | Pos: [2.97176, 0.19355, 5.18616] | Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [2.9718, 0.1936, 5.1862], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.7553, 0.1936, 5.0612], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.5387, 0.1936, 4.9362], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.3222, 0.1936, 4.8112], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.1057, 0.1936, 4.6862], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.8892, 0.1936, 4.5612], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.6727, 0.1936, 4.4362], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.4562, 0.1936, 4.3112], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.2397, 0.1936, 4.1862], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.0232, 0.1936, 4.0612], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [0.8067, 0.1936, 3.9362], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [0.5902, 0.1936, 3.8112], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [0.3737, 0.1936, 3.6862], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [0.1572, 0.1936, 3.5612], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.0593, 0.1936, 3.4362], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.2758, 0.1936, 3.3112], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.4923, 0.1936, 3.1862], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.7088, 0.1936, 3.0612], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.9254, 0.1936, 2.9362], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.1419, 0.1936, 2.8112], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.3584, 0.1936, 2.6862], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.5749, 0.1936, 2.5612], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.7914, 0.1936, 2.4362], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-2.0079, 0.1936, 2.3112], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-2.2244, 0.1936, 2.1862], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-2.4409, 0.1936, 2.0612], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-2.6574, 0.1936, 1.9362], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-2.8739, 0.1936, 1.8112], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-3.0904, 0.1936, 1.6862], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-3.3069, 0.1936, 1.5612], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-3.5234, 0.1936, 1.4362], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-3.7399, 0.1936, 1.3112], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-3.9564, 0.1936, 1.1862], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-4.1730, 0.1936, 1.0612], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-4.3895, 0.1936, 0.9362], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-4.6060, 0.1936, 0.8112], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-4.6060, 0.1936, 0.8112], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-4.7310, 0.1936, 0.5947], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-4.8560, 0.1936, 0.3781], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-4.9810, 0.1936, 0.1616], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-5.1060, 0.1936, -0.0549], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-5.2310, 0.1936, -0.2714], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-5.3560, 0.1936, -0.4879], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-5.4810, 0.1936, -0.7044], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-5.6060, 0.1936, -0.9209], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-5.7310, 0.1936, -1.1374], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-5.8560, 0.1936, -1.3539], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-5.9810, 0.1936, -1.5704], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-6.1060, 0.1936, -1.7869], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-6.2310, 0.1936, -2.0034], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-6.3560, 0.1936, -2.2199], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-6.3560, 0.1936, -2.2199], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-6.5725, 0.1936, -2.3449], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-6.7890, 0.1936, -2.4699], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-7.0055, 0.1936, -2.5949], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-7.2220, 0.1936, -2.7199], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
