START | Pos: [24.244, -0.5425, -4.02] | Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [24.3690, -0.5426, -4.2365], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [24.4940, -0.5426, -4.4530], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [24.6190, -0.5426, -4.6695], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [24.7440, -0.5426, -4.8861], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [24.8689, -0.5426, -5.1026], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [24.9939, -0.5426, -5.3191], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [25.1189, -0.5426, -5.5356], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [25.1189, -0.5426, -5.5356], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [25.1189, -0.5426, -5.5356], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [25.1189, -0.5426, -5.5356], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [24.9024, -0.5426, -5.6606], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [24.6859, -0.5426, -5.7856], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [24.4694, -0.5426, -5.9106], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [24.2529, -0.5426, -6.0355], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [24.0364, -0.5426, -6.1605], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [24.0364, -0.5426, -6.1605], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [23.7864, -0.5426, -6.1605], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [23.5364, -0.5426, -6.1605], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [23.2864, -0.5426, -6.1605], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [23.0364, -0.5426, -6.1605], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [22.7864, -0.5426, -6.1605], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [22.5364, -0.5426, -6.1605], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [22.2864, -0.5426, -6.1604], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [22.0364, -0.5426, -6.1604], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [21.7864, -0.5426, -6.1604], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [21.5364, -0.5426, -6.1604], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [21.2864, -0.5426, -6.1604], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [21.0364, -0.5426, -6.1604], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [20.7864, -0.5426, -6.1604], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [20.5364, -0.5426, -6.1604], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [20.2864, -0.5426, -6.1603], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [20.0364, -0.5426, -6.1603], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
