START | Pos: [-11.85938, 0.18997, -11.50831] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-11.6094, 0.1900, -11.5083], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-11.3594, 0.1900, -11.5083], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-11.1094, 0.1900, -11.5083], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-11.1094, 0.1900, -11.5083], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-10.8929, 0.1900, -11.3833], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-10.8929, 0.1900, -11.3833], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.6429, 0.1900, -11.3833], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.3929, 0.1900, -11.3833], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.1429, 0.1900, -11.3833], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.8929, 0.1900, -11.3833], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.6429, 0.1900, -11.3833], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
stop, Pos: [-9.6429, 0.1900, -11.3833], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
