START | Pos: [16.23714, 0.10155, -4.64377] | Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [16.2371, 0.1016, -4.6438], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [16.2371, 0.1016, -4.6438], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [16.2371, 0.1016, -4.6438], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [16.1122, 0.1016, -4.4273], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [15.9872, 0.1016, -4.2107], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [15.8622, 0.1016, -3.9942], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [15.7372, 0.1016, -3.7777], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [15.6122, 0.1016, -3.5612], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [15.4872, 0.1016, -3.3447], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [15.3622, 0.1016, -3.1282], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [15.2372, 0.1016, -2.9117], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [15.1122, 0.1016, -2.6952], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [14.9872, 0.1016, -2.4786], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [14.8623, 0.1016, -2.2621], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [14.7373, 0.1016, -2.0456], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [14.6123, 0.1016, -1.8291], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [14.6123, 0.1016, -1.8291], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [14.6123, 0.1016, -1.5791], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [14.6123, 0.1016, -1.3291], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [14.6123, 0.1016, -1.0791], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [14.6123, 0.1016, -1.0791], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [14.7373, 0.1016, -0.8626], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [14.8623, 0.1016, -0.6461], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [14.8623, 0.1016, -0.6461], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [14.8623, 0.1016, -0.3961], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [14.8578, 0.1016, -0.2012], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [14.8371, 0.1016, -0.1995], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [14.8164, 0.1016, -0.1977], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [14.8164, 0.1016, -0.1977], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [14.8164, 0.1016, -0.1977], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [14.8164, 0.1016, -0.1977], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [14.8164, 0.1016, -0.1977], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [14.8164, 0.1016, -0.1977], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [14.8164, 0.1016, -0.1977], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [14.8164, 0.1016, -0.1977], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [14.6914, 0.1016, -0.4142], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [14.5664, 0.1016, -0.6307], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [14.4414, 0.1016, -0.8472], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [14.3164, 0.1016, -1.0637], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [14.1914, 0.1016, -1.2802], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [14.0664, 0.1016, -1.4967], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [13.9413, 0.1016, -1.7132], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [13.8163, 0.1016, -1.9297], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [13.6913, 0.1016, -2.1462], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [13.5663, 0.1016, -2.3627], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [13.4413, 0.1016, -2.5792], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [13.3163, 0.1016, -2.7957], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [13.1913, 0.1016, -3.0122], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [13.0663, 0.1016, -3.2287], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [12.9413, 0.1016, -3.4452], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [12.8162, 0.1016, -3.6617], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [12.6912, 0.1016, -3.8782], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
