START | Pos: [-4.21486, 0.21325, -3.33832] | Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-4.2149, 0.2132, -3.3383], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-4.3399, 0.2132, -3.1218], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-4.4649, 0.2132, -2.9053], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-4.5899, 0.2132, -2.6888], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-4.5899, 0.2132, -2.6888], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-4.8064, 0.2132, -2.5638], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-5.0229, 0.2132, -2.4388], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-5.0229, 0.2132, -2.4388], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.1479, 0.2132, -2.2223], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.2729, 0.2132, -2.0058], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.3979, 0.2132, -1.7893], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.5229, 0.2132, -1.5728], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-5.5229, 0.2132, -1.5728], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-5.5229, 0.2132, -1.3228], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-5.5229, 0.2132, -1.0728], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-5.5229, 0.2132, -1.0728], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-5.3979, 0.2132, -0.8563], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-5.3979, 0.2132, -0.8563], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [-5.3979, 0.2132, -0.6063], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-5.3979, 0.2132, -0.6063], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-5.3979, 0.2132, -0.6063], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-5.3979, 0.2132, -0.6063], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-5.3979, 0.2132, -0.6063], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-5.1814, 0.2132, -0.7313], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-4.9649, 0.2132, -0.8563], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-4.7484, 0.2132, -0.9813], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-4.5318, 0.2132, -1.1063], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-4.3153, 0.2132, -1.2313], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
stop, Pos: [-4.3153, 0.2132, -1.2313], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
