START | Pos: [-3.11759, 0.19118, -1.75868] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-3.1176, 0.1912, -2.0087], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-3.1176, 0.1912, -2.2587], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-3.1176, 0.1912, -2.5087], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-3.1176, 0.1912, -2.7587], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
stop, Pos: [-3.1176, 0.1912, -2.7587], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
