START | Pos: [0.7158, 0.14281, -3.21363] | Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [0.9323, 0.1428, -3.0886], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [1.1488, 0.1428, -2.9636], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [1.3653, 0.1428, -2.8386], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [1.3653, 0.1428, -2.8386], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [1.4903, 0.1428, -2.6221], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [1.6153, 0.1428, -2.4056], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [1.7403, 0.1428, -2.1891], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [1.7403, 0.1428, -2.1891], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [1.7403, 0.1428, -1.9391], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [1.7403, 0.1428, -1.6891], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [1.7403, 0.1428, -1.4391], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [1.7403, 0.1428, -1.1891], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [1.7403, 0.1428, -1.1891], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [1.7403, 0.1428, -1.1891], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [1.7403, 0.1428, -1.1891], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [1.7403, 0.1428, -1.1891], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [1.7403, 0.1428, -1.1891], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [1.7403, 0.1428, -1.1891], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [1.7403, 0.1428, -1.1891], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [1.7403, 0.1428, -1.1891], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [1.7403, 0.1428, -1.1891], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [1.6153, 0.1428, -1.4056], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [1.4903, 0.1428, -1.6221], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [1.3653, 0.1428, -1.8386], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [1.2403, 0.1428, -2.0551], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [1.1153, 0.1428, -2.2716], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [0.9903, 0.1428, -2.4881], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [0.9903, 0.1428, -2.4881], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.9903, 0.1428, -2.7381], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.9903, 0.1428, -2.9881], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.9903, 0.1428, -3.2381], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.9903, 0.1428, -3.4881], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.9903, 0.1428, -3.7381], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.9903, 0.1428, -3.9881], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.9903, 0.1428, -4.2381], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.9903, 0.1428, -4.4881], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.9903, 0.1428, -4.7381], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.9903, 0.1428, -4.9881], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.9903, 0.1428, -5.2381], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.9903, 0.1428, -5.4881], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [0.9903, 0.1428, -5.4881], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [0.8653, 0.1428, -5.7047], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [0.7403, 0.1428, -5.9212], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [0.7403, 0.1428, -5.9212], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.7403, 0.1428, -6.1712], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.7403, 0.1428, -6.4212], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.7403, 0.1428, -6.6712], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.7403, 0.1428, -6.9212], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.7403, 0.1428, -7.1712], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.7403, 0.1428, -7.4212], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.7403, 0.1428, -7.6712], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.7403, 0.1428, -7.9212], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.7403, 0.1428, -8.1712], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.7403, 0.1428, -8.4212], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.7403, 0.1428, -8.6712], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [0.7403, 0.1428, -8.9212], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [0.7403, 0.1428, -8.9212], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [0.7403, 0.1428, -8.9212], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [0.7403, 0.1428, -8.9212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [0.7403, 0.1428, -8.9212], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [0.9568, 0.1428, -8.7962], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [1.1733, 0.1428, -8.6712], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [1.3898, 0.1428, -8.5462], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [1.6063, 0.1428, -8.4212], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [1.6063, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [1.8563, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [2.1063, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [2.3563, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [2.6063, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [2.8563, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.1063, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.3563, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.6063, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.8563, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.1063, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.3563, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.6063, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [4.8563, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.1063, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.3563, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.6063, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [5.8563, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.1063, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.3563, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.6063, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [6.8563, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.1063, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [7.3563, 0.1428, -8.4212], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
