START | Pos: [16.63148, 0.19811, -11.30976] | Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [16.3815, 0.1981, -11.3098], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [16.1315, 0.1981, -11.3098], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [16.1315, 0.1981, -11.3098], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.9150, 0.1981, -11.4348], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.6985, 0.1981, -11.5598], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.4820, 0.1981, -11.6848], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.2655, 0.1981, -11.8098], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.0489, 0.1981, -11.9348], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [15.0489, 0.1981, -11.9348], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [14.7989, 0.1981, -11.9348], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [14.7989, 0.1981, -11.9348], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.5824, 0.1981, -12.0598], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.3659, 0.1981, -12.1848], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.1494, 0.1981, -12.3098], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.9329, 0.1981, -12.4348], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.7164, 0.1981, -12.5598], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.4999, 0.1981, -12.6848], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.2834, 0.1981, -12.8098], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.0669, 0.1981, -12.9348], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [12.8504, 0.1981, -13.0598], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [12.6339, 0.1981, -13.1848], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [12.4174, 0.1981, -13.3098], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [12.4174, 0.1981, -13.3098], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [12.4174, 0.1981, -13.3098], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [12.4174, 0.1981, -13.3098], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [12.2924, 0.1981, -13.0933], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [12.2924, 0.1981, -13.0933], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [12.2924, 0.1981, -13.0933], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [12.2924, 0.1981, -13.0933], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [12.2924, 0.1981, -13.0933], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [12.1674, 0.1981, -13.3098], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [12.0424, 0.1981, -13.5263], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [11.9174, 0.1981, -13.7428], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
