START | Pos: [-3.62003, 0.09346, 3.798] | Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-3.3700, 0.0935, 3.7980], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-3.1200, 0.0935, 3.7980], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-2.8700, 0.0935, 3.7980], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-2.6200, 0.0935, 3.7980], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-2.3700, 0.0935, 3.7980], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-2.1200, 0.0935, 3.7980], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.8700, 0.0935, 3.7980], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.6200, 0.0935, 3.7980], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-1.6200, 0.0935, 3.7980], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-1.6200, 0.0935, 3.7980], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-1.6200, 0.0935, 3.7980], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-1.6200, 0.0935, 3.7980], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-1.6200, 0.0935, 3.7980], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-1.8365, 0.0935, 3.6730], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-2.0530, 0.0935, 3.5480], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-2.2695, 0.0935, 3.4230], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-2.4861, 0.0935, 3.2980], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-2.7026, 0.0935, 3.1730], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-2.9191, 0.0935, 3.0480], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-3.1356, 0.0935, 2.9230], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
stop, Pos: [-3.1356, 0.0935, 2.9230], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
