START | Pos: [-0.23005, 0.07, 7.71749] | Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-0.4466, 0.0700, 7.8425], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-0.6631, 0.0700, 7.9675], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-0.8796, 0.0700, 8.0925], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.0961, 0.0700, 8.2175], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.3126, 0.0700, 8.3425], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.5291, 0.0700, 8.4675], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.7456, 0.0700, 8.5925], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-1.9621, 0.0700, 8.7175], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-2.1786, 0.0700, 8.8425], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-2.3951, 0.0700, 8.9675], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-2.3951, 0.0700, 8.9675], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-2.3951, 0.0700, 8.9675], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-2.3951, 0.0700, 8.9675], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-2.3951, 0.0700, 8.9675], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [-2.3951, 0.0700, 8.7175], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [-2.3951, 0.0700, 8.4675], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [-2.3951, 0.0700, 8.2175], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [-2.3951, 0.0700, 7.9675], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [-2.3951, 0.0700, 7.7175], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [-2.3951, 0.0700, 7.4675], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [-2.3951, 0.0700, 7.4675], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.2701, 0.0700, 7.2510], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.1451, 0.0700, 7.0345], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.0201, 0.0700, 6.8180], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-1.8951, 0.0700, 6.6015], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-1.7701, 0.0700, 6.3850], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-1.6451, 0.0700, 6.1685], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-1.5201, 0.0700, 5.9519], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-1.5201, 0.0700, 5.9519], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-1.5201, 0.0700, 5.9519], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.2701, 0.0700, 5.9519], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.0201, 0.0700, 5.9519], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-1.0201, 0.0700, 5.9519], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-1.0201, 0.0700, 5.9519], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-1.0201, 0.0700, 5.9519], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-1.0201, 0.0700, 5.9519], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.1451, 0.0700, 5.7354], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.2701, 0.0700, 5.5189], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.3951, 0.0700, 5.3024], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.5201, 0.0700, 5.0859], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-1.5201, 0.0700, 5.0859], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [-1.5201, 0.0700, 4.8359], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-1.5201, 0.0700, 4.8359], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.6451, 0.0700, 4.6194], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-1.6451, 0.0700, 4.6194], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [-1.6451, 0.0700, 4.6194], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-1.6451, 0.0700, 4.6194], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-1.6451, 0.0700, 4.6194], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-1.6451, 0.0700, 4.6194], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-1.6451, 0.0700, 4.6194], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-1.6451, 0.0700, 4.6194], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
