START | Pos: [3.0061, 0.072447, -2.6786] | Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.7561, 0.0724, -2.6786], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.5061, 0.0724, -2.6786], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.2561, 0.0724, -2.6786], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.0061, 0.0724, -2.6786], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [2.0061, 0.0724, -2.6786], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [2.0061, 0.0724, -2.6786], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [1.8811, 0.0724, -2.8951], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [1.8066, 0.0724, -3.1116], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [1.8066, 0.0724, -3.3281], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [1.8066, 0.0724, -3.5446], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [1.8066, 0.0724, -3.5446], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [1.8065, 0.0724, -3.7946], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
stop, Pos: [1.8065, 0.0724, -3.7946], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
