START | Pos: [3.18055, 0.18678, -3.51576] | Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [3.1806, 0.1868, -3.5158], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [3.1806, 0.1868, -3.5158], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [3.1806, 0.1868, -3.5158], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [3.1806, 0.1868, -3.5158], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [3.1806, 0.1868, -3.5158], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.9306, 0.1868, -3.5158], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.6806, 0.1868, -3.5158], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.4306, 0.1868, -3.5158], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.1806, 0.1868, -3.5158], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [1.9306, 0.1868, -3.5158], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [1.6806, 0.1868, -3.5158], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [1.4306, 0.1868, -3.5158], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [1.1806, 0.1868, -3.5158], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [0.9306, 0.1868, -3.5158], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [0.6806, 0.1868, -3.5158], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [0.4306, 0.1868, -3.5158], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
stop, Pos: [0.4306, 0.1868, -3.5158], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
