START | Pos: [2.91232, 0.148, -1.9068] | Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [2.9123, 0.1480, -1.9068], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [2.9123, 0.1480, -1.9068], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [2.9123, 0.1480, -1.9068], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [2.9123, 0.1480, -1.9068], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [2.9123, 0.1480, -1.9068], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [2.9123, 0.1480, -1.9068], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [2.9123, 0.1480, -1.9068], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [2.9123, 0.1480, -1.9068], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [2.9123, 0.1480, -1.9068], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [2.9123, 0.1480, -1.9068], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [2.9123, 0.1480, -1.9068], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [2.9123, 0.1480, -1.9068], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [2.9123, 0.1480, -1.9068], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [2.9123, 0.1480, -1.9068], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [2.9123, 0.1480, -1.9068], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [2.9123, 0.1480, -2.1568], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [2.9123, 0.1480, -2.4068], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [2.9123, 0.1480, -2.6568], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [2.9123, 0.1480, -2.9068], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
forward, Pos: [2.9123, 0.1480, -3.1568], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [2.9123, 0.1480, -3.1568], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [2.9123, 0.1480, -3.1568], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [2.9123, 0.1480, -3.1568], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [2.9123, 0.1480, -3.1568], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [2.9123, 0.1480, -3.1568], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
