START | Pos: [3.18055, 0.18678, -3.51576] | Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.3055, 0.1868, -3.2993], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.4305, 0.1868, -3.0827], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.5555, 0.1868, -2.8662], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.6805, 0.1868, -2.6497], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.8055, 0.1868, -2.4332], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [3.9305, 0.1868, -2.2167], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [4.0555, 0.1868, -2.0002], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [4.1805, 0.1868, -1.7837], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [4.3055, 0.1868, -1.5672], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [4.4305, 0.1868, -1.3507], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [4.5555, 0.1868, -1.1342], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [4.5555, 0.1868, -1.1342], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [4.5555, 0.1868, -0.8842], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [4.5555, 0.1868, -0.6342], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [4.5555, 0.1868, -0.3842], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [4.5555, 0.1868, -0.1342], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [4.5555, 0.1868, 0.1158], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [4.5555, 0.1868, 0.3658], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [4.5555, 0.1868, 0.6158], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [4.5555, 0.1868, 0.6158], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [4.4305, 0.1868, 0.8323], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [4.3055, 0.1868, 1.0488], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [4.1805, 0.1868, 1.2653], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [4.1805, 0.1868, 1.2653], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [4.1805, 0.1868, 1.2653], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [4.1805, 0.1868, 1.2653], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [4.1805, 0.1868, 1.2653], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [4.1805, 0.1868, 1.2653], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [4.1805, 0.1868, 1.0153], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [4.1805, 0.1868, 0.7653], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [4.1805, 0.1868, 0.5153], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [4.1805, 0.1868, 0.2653], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [4.1805, 0.1868, 0.0153], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [4.1805, 0.1868, -0.2347], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [4.1805, 0.1868, -0.4847], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [4.1805, 0.1868, -0.4847], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [4.0555, 0.1868, -0.7012], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [3.9305, 0.1868, -0.9177], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [3.8055, 0.1868, -1.1342], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [3.6805, 0.1868, -1.3507], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [3.6805, 0.1868, -1.3507], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [3.4640, 0.1868, -1.4757], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [3.2475, 0.1868, -1.6007], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [3.0310, 0.1868, -1.7257], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.8145, 0.1868, -1.8507], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.5980, 0.1868, -1.9757], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.3815, 0.1868, -2.1007], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.1650, 0.1868, -2.2257], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.9485, 0.1868, -2.3507], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.7320, 0.1868, -2.4757], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.5155, 0.1868, -2.6007], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.2990, 0.1868, -2.7257], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.0825, 0.1868, -2.8507], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [0.8660, 0.1868, -2.9757], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [0.6495, 0.1868, -3.1007], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [0.4330, 0.1868, -3.2257], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
