START | Pos: [0.7158, 0.14281, -3.21363] | Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [0.7158, 0.1428, -3.4636], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [0.7158, 0.1428, -3.7136], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [0.7158, 0.1428, -3.9636], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [0.7158, 0.1428, -4.2136], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [0.5908, 0.1428, -4.4301], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [0.5908, 0.1428, -4.4301], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [0.5908, 0.1428, -4.4301], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [0.5908, 0.1428, -4.4301], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [0.5908, 0.1428, -4.4301], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [0.5908, 0.1428, -4.4301], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [0.8073, 0.1428, -4.3051], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [0.8073, 0.1428, -4.3051], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [0.8073, 0.1428, -4.3051], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [0.8073, 0.1428, -4.0551], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [0.8073, 0.1428, -4.0551], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [0.9323, 0.1428, -3.8386], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [1.0573, 0.1428, -3.6221], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [1.1823, 0.1428, -3.4056], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [1.3073, 0.1428, -3.1891], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [1.1823, 0.1428, -3.4056], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [1.0573, 0.1428, -3.6221], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [0.9323, 0.1428, -3.8386], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [0.8073, 0.1428, -4.0551], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [0.6823, 0.1428, -4.2716], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [0.5573, 0.1428, -4.4881], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [0.5573, 0.1428, -4.4881], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [0.3408, 0.1428, -4.6131], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [0.1243, 0.1428, -4.7381], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.0922, 0.1428, -4.8631], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.3087, 0.1428, -4.9881], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.5252, 0.1428, -5.1131], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.7417, 0.1428, -5.2381], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-0.9582, 0.1428, -5.3631], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-0.9582, 0.1428, -5.3631], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-0.9582, 0.1428, -5.3631], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [-0.9582, 0.1428, -5.3631], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-0.8332, 0.1428, -5.5797], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-0.8332, 0.1428, -5.5797], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-0.8332, 0.1428, -5.5797], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-0.8332, 0.1428, -5.5797], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-0.8332, 0.1428, -5.5797], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-0.8332, 0.1428, -5.5797], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-0.8332, 0.1428, -5.5797], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-0.8332, 0.1428, -5.5797], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-0.8332, 0.1428, -5.5797], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-1.0832, 0.1428, -5.5797], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-1.3332, 0.1428, -5.5797], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-1.5832, 0.1428, -5.5797], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-1.8332, 0.1428, -5.5797], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-2.0832, 0.1428, -5.5797], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-2.3332, 0.1428, -5.5797], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-2.5832, 0.1428, -5.5797], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-2.8332, 0.1428, -5.5797], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-2.8332, 0.1428, -5.5797], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-3.0497, 0.1428, -5.4547], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-3.2662, 0.1428, -5.3297], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-3.4828, 0.1428, -5.2047], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-3.4828, 0.1428, -5.2047], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-3.7328, 0.1428, -5.2047], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-3.9828, 0.1428, -5.2047], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-4.2328, 0.1428, -5.2047], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-4.2328, 0.1428, -5.2047], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
