START | Pos: [-2.3657, 2.9257, 3.65177] | Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-2.5822, 2.9258, 3.7768], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-2.5822, 2.9258, 3.7768], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-2.8322, 2.9258, 3.7768], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-3.0822, 2.9258, 3.7768], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-3.3322, 2.9258, 3.7768], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-3.5822, 2.9258, 3.7768], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-3.8322, 2.9258, 3.7768], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-4.0822, 2.9258, 3.7769], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-4.3322, 2.9258, 3.7769], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-4.5822, 2.9258, 3.7769], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-4.8322, 2.9258, 3.7769], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-5.0822, 2.9258, 3.7769], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-5.3146, 2.9258, 3.7629], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-5.5646, 2.9258, 3.6678], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-5.8146, 2.9258, 3.6678], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-6.0646, 2.9258, 3.6678], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-6.3146, 2.9258, 3.6678], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-6.5646, 2.9258, 3.6678], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-6.8146, 2.9258, 3.6678], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-7.0646, 2.9258, 3.6678], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-7.0646, 2.9258, 3.6678], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-7.0646, 2.9258, 3.6678], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-7.0646, 2.9258, 3.6678], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-7.0647, 2.9258, 3.4178], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-7.0647, 2.9258, 3.1678], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-7.0647, 2.9258, 2.9178], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-7.0647, 2.9258, 2.6678], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-7.0647, 2.9258, 2.4178], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
stop, Pos: [-7.0647, 2.9258, 2.4178], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
