START | Pos: [24.244, -0.5425, -4.02] | Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [24.0275, -0.5426, -3.8950], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [24.0275, -0.5426, -3.8950], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [23.9025, -0.5426, -3.6785], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [23.7775, -0.5426, -3.4620], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [23.7775, -0.5426, -3.4620], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [23.7775, -0.5426, -3.4620], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [23.7775, -0.5426, -3.4620], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [23.7775, -0.5426, -3.4620], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [23.6525, -0.5426, -3.6785], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [23.6525, -0.5426, -3.6785], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [23.6525, -0.5426, -3.9285], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [23.6525, -0.5426, -3.9285], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [23.6525, -0.5426, -3.9285], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [23.6525, -0.5426, -3.9285], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [23.6525, -0.5426, -3.9285], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [23.6525, -0.5426, -3.9285], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [23.6525, -0.5426, -3.9285], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [23.6525, -0.5426, -3.9285], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [23.6525, -0.5426, -3.9285], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [23.8690, -0.5426, -3.8035], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [24.0855, -0.5426, -3.6785], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [24.3020, -0.5426, -3.5535], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [24.5186, -0.5426, -3.4285], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [24.7351, -0.5426, -3.3035], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [24.9516, -0.5426, -3.1785], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [25.1681, -0.5426, -3.0535], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [25.3846, -0.5426, -2.9286], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [25.6011, -0.5426, -2.8036], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [25.8176, -0.5426, -2.6786], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [25.8176, -0.5426, -2.6786], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [25.9426, -0.5426, -2.4621], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [26.0676, -0.5426, -2.2456], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [26.1927, -0.5426, -2.0291], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
stop, Pos: [26.1927, -0.5426, -2.0291], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
