START | Pos: [1.8401, 0.16166, -1.93274] | Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [1.8401, 0.1617, -1.9327], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [1.8401, 0.1617, -1.9327], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [1.8401, 0.1617, -2.1827], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [1.8401, 0.1617, -2.4327], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [1.8401, 0.1617, -2.4327], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [1.8401, 0.1617, -2.4327], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [1.8401, 0.1617, -2.4327], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [1.8401, 0.1617, -2.4327], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [1.8401, 0.1617, -2.4327], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [1.8401, 0.1617, -2.4327], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [1.8401, 0.1617, -2.4327], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.7151, 0.1617, -2.2162], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [1.7151, 0.1617, -2.2162], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [1.7151, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [1.4651, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [1.2151, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [0.9651, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [0.7151, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [0.4651, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [0.2151, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-0.0349, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-0.2849, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-0.5349, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-0.7849, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.0349, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.2849, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.5349, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-1.7849, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.0349, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.2849, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.5349, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-2.7849, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
stop, Pos: [-2.7849, 0.1617, -2.2162], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
