START | Pos: [-4.80357, 0.09346, -2.25304] | Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-4.9286, 0.0935, -2.0365], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.0536, 0.0935, -1.8200], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.1786, 0.0935, -1.6035], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [-5.3036, 0.0935, -1.3870], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-5.3036, 0.0935, -1.3870], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.3036, 0.0935, -1.1370], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.3036, 0.0935, -0.8870], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-5.3036, 0.0935, -0.8870], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-5.1786, 0.0935, -0.6705], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-5.1786, 0.0935, -0.6705], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.1786, 0.0935, -0.4205], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-5.1786, 0.0935, -0.4205], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [-5.0536, 0.0935, -0.2040], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-5.0536, 0.0935, -0.2040], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.0536, 0.0935, 0.0460], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.0536, 0.0935, 0.2960], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.0536, 0.0935, 0.5460], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.0536, 0.0935, 0.7960], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.0536, 0.0935, 1.0460], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.0536, 0.0935, 1.2960], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.0536, 0.0935, 1.5460], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.0536, 0.0935, 1.7960], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.0536, 0.0935, 2.0460], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.0536, 0.0935, 2.2960], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.0536, 0.0935, 2.5460], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.0536, 0.0935, 2.7960], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.0536, 0.0935, 3.0460], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [-5.0536, 0.0935, 3.2960], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-5.0536, 0.0935, 3.2960], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-5.0536, 0.0935, 3.2960], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-5.0536, 0.0935, 3.2960], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-5.0536, 0.0935, 3.2960], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-5.0536, 0.0935, 3.2960], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-5.0536, 0.0935, 3.2960], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-5.0536, 0.0935, 3.2960], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-5.0536, 0.0935, 3.2960], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-5.2701, 0.0935, 3.1710], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-5.4866, 0.0935, 3.0460], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-5.7031, 0.0935, 2.9210], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-5.9196, 0.0935, 2.7960], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-6.1361, 0.0935, 2.6710], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-6.3526, 0.0935, 2.5460], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-6.5691, 0.0935, 2.4210], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-6.7856, 0.0935, 2.2960], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
stop, Pos: [-6.7856, 0.0935, 2.2960], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
