START | Pos: [-0.23005, 0.07, 7.71749] | Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-0.2300, 0.0700, 7.7175], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [-0.2300, 0.0700, 7.4675], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [-0.2300, 0.0700, 7.2175], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [-0.2300, 0.0700, 6.9675], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [-0.2300, 0.0700, 6.9675], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-0.2300, 0.0700, 6.9675], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-0.2300, 0.0700, 6.9675], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-0.2300, 0.0700, 6.9675], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-0.2300, 0.0700, 6.9675], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-0.2300, 0.0700, 6.9675], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-0.2300, 0.0700, 6.9675], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-0.2300, 0.0700, 6.9675], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-0.2300, 0.0700, 6.9675], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-0.2300, 0.0700, 6.9675], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-0.2300, 0.0700, 6.9675], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-0.2300, 0.0700, 6.9675], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-0.2300, 0.0700, 6.9675], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-0.2300, 0.0700, 6.9675], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-0.2300, 0.0700, 6.9675], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.0200, 0.0700, 6.9675], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [0.0200, 0.0700, 6.9675], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [0.0200, 0.0700, 6.9675], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [0.0200, 0.0700, 6.9675], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [0.0200, 0.0700, 6.9675], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.1050, 0.0700, 6.7510], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.2300, 0.0700, 6.5345], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.3550, 0.0700, 6.3180], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.4800, 0.0700, 6.1015], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.6050, 0.0700, 5.8850], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.7300, 0.0700, 5.6685], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.8550, 0.0700, 5.4519], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.9800, 0.0700, 5.2354], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.1050, 0.0700, 5.0189], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.2300, 0.0700, 4.8024], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.3550, 0.0700, 4.5859], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.4800, 0.0700, 4.3694], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-1.4800, 0.0700, 4.3694], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-1.4800, 0.0700, 4.3694], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-1.4800, 0.0700, 4.3694], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-1.4800, 0.0700, 4.3694], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-1.4800, 0.0700, 4.3694], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-1.4800, 0.0700, 4.3694], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-1.4800, 0.0700, 4.3694], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-1.4800, 0.0700, 4.6194], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [-1.4800, 0.0700, 4.6194], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-1.4800, 0.0700, 4.6194], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-1.4800, 0.0700, 4.6194], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-1.4800, 0.0700, 4.6194], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-1.4800, 0.0700, 4.6194], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-1.4800, 0.0700, 4.6194], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [-1.4800, 0.0700, 4.3694], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-1.4800, 0.0700, 4.1194], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.6050, 0.0700, 3.9029], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-1.6050, 0.0700, 3.9029], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [-1.6050, 0.0700, 3.9029], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-1.6050, 0.0700, 3.9029], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-1.6050, 0.0700, 3.9029], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-1.6050, 0.0700, 3.9029], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-1.6050, 0.0700, 3.9029], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-1.6050, 0.0700, 3.9029], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-1.6050, 0.0700, 3.9029], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-1.6050, 0.0700, 3.9029], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-1.6050, 0.0700, 3.9029], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-1.6050, 0.0700, 3.9029], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-1.8216, 0.0700, 3.7779], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-1.8216, 0.0700, 3.7779], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-1.8216, 0.0700, 3.7779], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-1.8216, 0.0700, 3.7779], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-1.8216, 0.0700, 3.7779], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-1.8216, 0.0700, 3.7779], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-1.8216, 0.0700, 3.7779], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-1.8216, 0.0700, 3.7779], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-1.6966, 0.0700, 3.9944], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-1.6966, 0.0700, 3.9944], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [-1.6966, 0.0700, 3.9944], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-1.6966, 0.0700, 3.9944], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-1.6966, 0.0700, 3.9944], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-1.6966, 0.0700, 3.9944], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-1.6966, 0.0700, 3.9944], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-1.8216, 0.0700, 3.7779], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
