START | Pos: [-3.11759, 0.19118, -1.75868] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-3.1176, 0.1912, -2.0087], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-3.1176, 0.1912, -2.2587], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-3.1176, 0.1912, -2.5087], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-3.1176, 0.1912, -2.7587], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-3.1176, 0.1912, -3.0087], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-3.1176, 0.1912, -3.0087], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.9926, 0.1912, -3.2252], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.8676, 0.1912, -3.4417], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.7426, 0.1912, -3.6582], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.6176, 0.1912, -3.8747], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.4926, 0.1912, -4.0912], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-2.3676, 0.1912, -4.3077], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-2.3676, 0.1912, -4.3077], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-2.1511, 0.1912, -4.4327], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-1.9346, 0.1912, -4.5577], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-1.7181, 0.1912, -4.6827], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-1.5016, 0.1912, -4.8077], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-1.2851, 0.1912, -4.9327], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-1.0686, 0.1912, -5.0577], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-1.0686, 0.1912, -5.0577], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
stop, Pos: [-1.0686, 0.1912, -5.0577], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
