START | Pos: [-9.49727, 0.19156, 2.8449] | Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-9.4973, 0.1916, 2.8449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-9.7473, 0.1916, 2.8449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-9.9973, 0.1916, 2.8449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-10.2473, 0.1916, 2.8449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-10.4973, 0.1916, 2.8449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-10.7473, 0.1916, 2.8449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-10.9973, 0.1916, 2.8449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-11.2473, 0.1916, 2.8449], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-11.2473, 0.1916, 2.8449], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-11.2473, 0.1916, 2.8449], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-11.2473, 0.1916, 2.8449], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [-11.2473, 0.1916, 2.5949], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-11.2473, 0.1916, 2.5949], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-11.2473, 0.1916, 2.5949], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-11.2473, 0.1916, 2.5949], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-11.2473, 0.1916, 2.5949], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-11.0308, 0.1916, 2.7199], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-10.8143, 0.1916, 2.8449], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-10.5977, 0.1916, 2.9699], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-10.3812, 0.1916, 3.0949], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-10.3812, 0.1916, 3.0949], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.1312, 0.1916, 3.0949], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.8812, 0.1916, 3.0949], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.6312, 0.1916, 3.0949], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.3812, 0.1916, 3.0949], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.1312, 0.1916, 3.0949], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-8.8812, 0.1916, 3.0949], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-8.6312, 0.1916, 3.0949], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
