START | Pos: [-2.3657, 2.9257, 3.65177] | Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-2.3657, 2.9258, 3.6518], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [-2.1492, 2.9258, 3.7768], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-2.1492, 2.9258, 3.7768], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.8992, 2.9258, 3.7767], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.6492, 2.9258, 3.7767], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.3992, 2.9258, 3.7767], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-1.1492, 2.9258, 3.7767], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.8992, 2.9258, 3.7767], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.6492, 2.9258, 3.7767], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.3992, 2.9258, 3.7767], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-0.1492, 2.9258, 3.7767], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.1008, 2.9258, 3.7766], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.3508, 2.9258, 3.7766], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [0.6008, 2.9258, 3.7766], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
