START | Pos: [7.15886, -0.16933, -2.1896] | Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [7.1589, -0.1693, -2.1896], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [7.0339, -0.1693, -1.9731], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.9089, -0.1693, -1.7566], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.7839, -0.1693, -1.5401], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.6589, -0.1693, -1.3235], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.5339, -0.1693, -1.1070], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.4089, -0.1693, -0.8905], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.4052, -0.1693, -0.6942], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.3080, -0.1693, -0.4333], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.1830, -0.1856, -0.2167], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [6.0580, -0.2019, -0.0002], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [5.9331, -0.2313, 0.2163], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [5.8081, -0.2637, 0.4328], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
stop, Pos: [5.8081, -0.2637, 0.4328], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
