START | Pos: [3.0061, 0.072447, -2.6786] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [3.0061, 0.0724, -2.9286], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [3.0061, 0.0724, -3.1786], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [3.0061, 0.0724, -3.1786], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [3.0061, 0.0724, -3.1786], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.7896, 0.0724, -3.3036], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.5731, 0.0724, -3.4286], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.3565, 0.0724, -3.5536], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.1400, 0.0724, -3.6786], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.9235, 0.0724, -3.8035], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.7120, 0.0724, -3.9252], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [1.7120, 0.0724, -3.9252], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [1.7120, 0.0724, -3.9252], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [1.7120, 0.0724, -3.9252], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [1.7120, 0.0724, -3.9252], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [1.7120, 0.0724, -3.9252], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [1.8370, 0.0724, -3.7087], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [1.9620, 0.0724, -3.4922], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [1.9620, 0.0724, -3.4922], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [1.9620, 0.0724, -3.2422], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [1.9620, 0.0724, -3.2422], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [2.0871, 0.0724, -3.0257], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [2.0871, 0.0724, -3.0257], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [2.0871, 0.0724, -2.7757], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [2.0871, 0.0724, -2.5257], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [2.0871, 0.0724, -2.2757], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [2.0871, 0.0724, -2.0257], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [2.0871, 0.0724, -1.7757], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [2.0871, 0.0724, -1.5257], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [2.0871, 0.0724, -1.2757], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [2.0871, 0.0724, -1.2757], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.9622, 0.0724, -1.0592], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.8372, 0.0724, -0.8427], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.7122, 0.0724, -0.6262], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.5872, 0.0724, -0.4096], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [1.4622, 0.0724, -0.1931], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [1.4622, 0.0724, -0.1931], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
stop, Pos: [1.4622, 0.0724, -0.1931], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
