START | Pos: [-11.85938, 0.18997, -11.50831] | Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-11.9509, 0.1900, -11.4168], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-11.9509, 0.1900, -11.4168], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-11.9509, 0.1900, -11.4168], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-11.9509, 0.1900, -11.4168], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-11.9509, 0.1900, -11.4168], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-11.9509, 0.1900, -11.4168], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-11.9509, 0.1900, -11.4168], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-11.7344, 0.1900, -11.2918], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-11.5179, 0.1900, -11.1668], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-11.5179, 0.1900, -11.1668], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-11.2679, 0.1900, -11.1668], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-11.0179, 0.1900, -11.1668], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.7679, 0.1900, -11.1668], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.5179, 0.1900, -11.1668], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.2679, 0.1900, -11.1668], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.0179, 0.1900, -11.1668], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.7679, 0.1900, -11.1668], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-9.7679, 0.1900, -11.1668], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-9.5514, 0.1900, -11.2918], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-9.5514, 0.1900, -11.2918], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.3014, 0.1900, -11.2918], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-9.3014, 0.1900, -11.2918], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-9.0849, 0.1900, -11.4168], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-8.8684, 0.1900, -11.5418], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-8.6518, 0.1900, -11.6668], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
stop, Pos: [-8.6518, 0.1900, -11.6668], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
