START | Pos: [13.55902, 0.12711, 1.6699] | Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [13.7755, 0.1271, 1.5449], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [13.9920, 0.1271, 1.4199], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [14.2085, 0.1271, 1.2949], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [14.4250, 0.1271, 1.1699], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [14.6415, 0.1271, 1.0448], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [14.8580, 0.1271, 0.9198], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [15.0745, 0.1271, 0.7948], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [15.2910, 0.1271, 0.6698], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [15.5075, 0.1271, 0.5448], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [15.7240, 0.1271, 0.4198], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [15.9405, 0.1271, 0.2948], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [16.1570, 0.1271, 0.1698], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [16.3735, 0.1271, 0.0448], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [16.5900, 0.1271, -0.0803], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [16.8065, 0.1271, -0.2053], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [17.0230, 0.1271, -0.3303], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [17.2395, 0.1271, -0.4553], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [17.4560, 0.1271, -0.5803], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [17.6725, 0.1271, -0.7053], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [17.8890, 0.1271, -0.8303], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [18.1055, 0.1271, -0.9553], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [18.3220, 0.1271, -1.0803], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [18.3220, 0.1271, -1.0803], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.5720, 0.1271, -1.0803], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [18.8220, 0.1271, -1.0804], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [19.0720, 0.1271, -1.0804], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [19.3220, 0.1271, -1.0804], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [19.5720, 0.1271, -1.0804], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [19.8220, 0.1271, -1.0804], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [20.0720, 0.1271, -1.0804], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [20.3220, 0.1271, -1.0804], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [20.5720, 0.1271, -1.0804], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [20.8220, 0.1271, -1.0805], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [21.0720, 0.1271, -1.0805], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [21.3220, 0.1271, -1.0805], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [21.5720, 0.1271, -1.0805], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [21.8220, 0.1271, -1.0805], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [22.0720, 0.1271, -1.0805], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [22.3220, 0.1271, -1.0805], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [22.5720, 0.1271, -1.0805], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [22.8220, 0.1271, -1.0806], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [23.0720, 0.1271, -1.0806], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [23.3220, 0.1271, -1.0806], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [23.3220, 0.1271, -1.0806], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [23.5385, 0.1271, -0.9556], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [23.7550, 0.1271, -0.8306], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [23.7550, 0.1271, -0.8306], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [24.0050, 0.1271, -0.8306], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [24.2550, 0.1271, -0.8306], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [24.5050, 0.1271, -0.8306], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [24.7550, 0.1271, -0.8307], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [25.0050, 0.1271, -0.8307], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [25.2550, 0.1271, -0.8307], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [25.5050, 0.1271, -0.8307], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [25.7550, 0.1271, -0.8307], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [26.0050, 0.1271, -0.8307], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [26.2550, 0.1271, -0.8307], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [26.5050, 0.1271, -0.8307], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [26.7550, 0.1271, -0.8308], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [27.0050, 0.1271, -0.8308], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [27.0050, 0.1271, -0.8308], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [27.2215, 0.1271, -0.9558], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [27.2215, 0.1271, -0.9558], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [27.4715, 0.1271, -0.9558], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [27.4715, 0.1271, -0.9558], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [27.6880, 0.1271, -1.0808], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [27.6880, 0.1271, -1.0808], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [27.9380, 0.1271, -1.0808], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [27.9380, 0.1271, -1.0808], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [28.1545, 0.1271, -1.2058], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [28.3710, 0.1271, -1.3308], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [28.3710, 0.1271, -1.3308], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [28.4960, 0.1271, -1.5473], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [28.4960, 0.1271, -1.5473], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [28.7125, 0.1271, -1.6724], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [28.7125, 0.1271, -1.6724], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [28.8375, 0.1271, -1.8889], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [28.8375, 0.1271, -1.8889], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [28.8375, 0.1271, -1.8889], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [28.8375, 0.1271, -1.8889], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [28.8375, 0.1271, -1.8889], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [28.8375, 0.1271, -1.8889], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [28.8375, 0.1271, -1.6389], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [28.8375, 0.1271, -1.3889], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [28.8375, 0.1271, -1.3889], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [28.8375, 0.1271, -1.3889], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [28.6210, 0.1271, -1.2639], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [28.4045, 0.1271, -1.1389], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [28.4045, 0.1271, -1.1389], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [28.1545, 0.1271, -1.1388], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [27.9045, 0.1271, -1.1388], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [27.6545, 0.1271, -1.1388], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [27.4045, 0.1271, -1.1388], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [27.1545, 0.1271, -1.1388], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [26.9045, 0.1271, -1.1388], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [26.6545, 0.1271, -1.1388], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [26.6545, 0.1271, -1.1388], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [26.4380, 0.1271, -1.0138], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [26.4380, 0.1271, -1.0138], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [26.1880, 0.1271, -1.0137], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [25.9380, 0.1271, -1.0137], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [25.6880, 0.1271, -1.0137], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [25.4380, 0.1271, -1.0137], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [25.1880, 0.1271, -1.0137], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [24.9380, 0.1271, -1.0137], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [24.6880, 0.1271, -1.0137], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [24.4380, 0.1271, -1.0137], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [24.1880, 0.1271, -1.0136], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [23.9380, 0.1271, -1.0136], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [23.6880, 0.1271, -1.0136], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
