START | Pos: [4.30698, 0.19388, -4.34907] | Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [4.3070, 0.1939, -4.3491], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [4.3070, 0.1939, -4.3491], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [4.3070, 0.1939, -4.3491], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [4.3070, 0.1939, -4.3491], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [4.3070, 0.1939, -4.3491], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [4.3070, 0.1939, -4.3491], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [4.3070, 0.1939, -4.3491], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [4.3070, 0.1939, -4.3491], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [4.3070, 0.1939, -4.0991], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [4.3070, 0.1939, -3.8491], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [4.3070, 0.1939, -3.5991], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [4.3070, 0.1939, -3.3491], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
stop, Pos: [4.3070, 0.1939, -3.3491], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
