START | Pos: [2.078, 0.029, -26.96813] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [2.0780, 0.0296, -26.9681], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [2.0780, 0.0296, -26.9681], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [2.0780, 0.0296, -26.9681], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [2.0780, 0.0296, -26.9681], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.8615, 0.0296, -26.8431], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.6450, 0.0296, -26.7181], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.4285, 0.0296, -26.5931], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [1.2120, 0.0296, -26.4681], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [1.2120, 0.0296, -26.4681], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [1.2120, 0.0296, -26.4681], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [1.2120, 0.0296, -26.4681], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [1.2120, 0.0296, -26.4681], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [1.2120, 0.0296, -26.4681], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [1.2120, 0.0296, -26.4681], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [1.2120, 0.0296, -26.4681], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [1.3370, 0.0296, -26.6846], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [1.3370, 0.0296, -26.6846], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [1.3370, 0.0296, -26.6846], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [1.3370, 0.0296, -26.6846], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [1.3370, 0.0296, -26.6846], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [1.3370, 0.0296, -26.6846], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [1.3370, 0.0296, -26.6846], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [1.2120, 0.0296, -26.4681], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [1.0870, 0.0296, -26.2516], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [1.0870, 0.0296, -26.2516], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [0.8705, 0.0296, -26.1266], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [0.6670, 0.0296, -25.9885], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [0.4963, 0.0296, -25.8178], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [0.4963, 0.0296, -25.8178], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [0.3713, 0.0296, -25.6012], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [0.3713, 0.0296, -25.6012], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [0.1548, 0.0296, -25.4762], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
stop, Pos: [0.1548, 0.0296, -25.4762], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
