START | Pos: [7.159, 0.1632, 0.8948] | Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [7.1590, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.9090, 0.1633, 0.8948], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [6.9090, 0.1633, 0.8948], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [6.9090, 0.1633, 0.8948], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [6.7749, 0.1633, 0.6828], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [6.6499, 0.1633, 0.6209], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [6.6499, 0.1633, 0.6209], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [6.6499, 0.1633, 0.6209], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [6.6499, 0.1633, 0.6209], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [6.4334, 0.1633, 0.7459], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [6.2169, 0.1633, 0.8710], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [6.0004, 0.1633, 0.9960], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [5.7839, 0.1633, 1.1210], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [5.7839, 0.1633, 1.1210], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.5339, 0.1633, 1.1210], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.2839, 0.1633, 1.1210], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.0339, 0.1633, 1.1210], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.7839, 0.1633, 1.1210], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [4.7839, 0.1633, 1.1210], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [4.5674, 0.1633, 0.9960], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [4.3235, 0.1633, 0.9039], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [4.1070, 0.1633, 0.7789], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [4.1070, 0.1633, 0.7789], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.8570, 0.1633, 0.7789], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [3.8570, 0.1633, 0.7789], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [3.6405, 0.1633, 0.6539], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [3.4240, 0.1633, 0.5289], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [3.2075, 0.1633, 0.4039], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [2.9910, 0.1633, 0.2790], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [2.7744, 0.1633, 0.1540], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [2.7744, 0.1633, 0.1540], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.5244, 0.1633, 0.1540], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.2744, 0.1633, 0.1540], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.0244, 0.1633, 0.1540], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.7744, 0.1633, 0.1540], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.5244, 0.1633, 0.1540], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.2744, 0.1633, 0.1540], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.0244, 0.1633, 0.1541], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [1.0244, 0.1633, 0.1541], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [1.0244, 0.1633, 0.1541], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [1.0244, 0.1633, 0.1541], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
forward, Pos: [1.0244, 0.1633, -0.0959], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [1.0244, 0.1633, -0.0959], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [1.1494, 0.1633, -0.3125], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [1.1494, 0.1633, -0.3125], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [1.3659, 0.1633, -0.4375], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [1.3659, 0.1633, -0.4375], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [1.6159, 0.1633, -0.4375], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [1.8659, 0.1633, -0.4375], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [2.1159, 0.1633, -0.4375], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [2.3659, 0.1633, -0.4375], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [2.6159, 0.1633, -0.4375], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [2.8659, 0.1633, -0.4375], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [3.1159, 0.1633, -0.4376], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [3.1159, 0.1633, -0.4376], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [3.1159, 0.1633, -0.4376], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [3.1159, 0.1633, -0.4376], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [3.1159, 0.1633, -0.4376], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [3.1159, 0.1633, -0.4376], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [3.1159, 0.1633, -0.4376], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [3.1159, 0.1633, -0.4376], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.8994, 0.1633, -0.3125], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.6829, 0.1633, -0.1875], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.4664, 0.1633, -0.0625], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.2499, 0.1633, 0.0625], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
