START | Pos: [-14.52051, 0.12186, -7.90472] | Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-14.5205, 0.1219, -7.9047], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-14.7705, 0.1219, -7.9047], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-15.0205, 0.1219, -7.9047], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-15.0205, 0.1219, -7.9047], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-15.0205, 0.1219, -7.9047], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-15.0205, 0.1219, -7.9047], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-15.0205, 0.1219, -7.9047], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-14.8955, 0.1219, -8.1212], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-14.7705, 0.1219, -8.3377], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-14.6455, 0.1219, -8.5542], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-14.5205, 0.1219, -8.7707], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-14.5205, 0.1219, -8.7707], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-14.5205, 0.1219, -8.7707], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-14.5205, 0.1219, -8.7707], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-14.5205, 0.1219, -8.7707], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-14.5205, 0.1219, -8.7707], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-14.5205, 0.1219, -8.7707], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-14.6455, 0.1219, -8.5542], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-14.7705, 0.1219, -8.3377], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-14.7705, 0.1219, -8.3377], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.7705, 0.1219, -8.0877], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.7705, 0.1219, -7.8377], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
forward, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-14.7705, 0.1219, -7.5877], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
