START | Pos: [17.96851, 0.19441, -4.78807] | Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [17.9685, 0.1944, -4.7881], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [17.7520, 0.1944, -4.6631], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [17.7520, 0.1944, -4.6631], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [17.6270, 0.1944, -4.4466], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [17.5020, 0.1944, -4.2301], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [17.3770, 0.1944, -4.0136], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [17.3770, 0.1944, -4.0136], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [17.3770, 0.1944, -3.7636], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [17.3770, 0.1944, -3.5136], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [17.3770, 0.1944, -3.2636], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [17.3770, 0.1944, -3.0136], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [17.3770, 0.1944, -2.7636], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [17.3770, 0.1944, -2.5136], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [17.3770, 0.1944, -2.2636], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [17.3770, 0.1944, -2.0136], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [17.3770, 0.1944, -1.7636], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [17.3770, 0.1944, -1.5136], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [17.3770, 0.1944, -1.2636], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [17.3770, 0.1944, -1.2636], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [17.3770, 0.1944, -1.2636], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [17.3770, 0.1944, -1.2636], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
