START | Pos: [0.567, -2.9155, 14.0793] | Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [0.5670, -2.9156, 14.0793], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
forward, Pos: [0.6920, -2.9156, 14.2958], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [0.6920, -2.9156, 14.2958], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [0.6920, -2.9156, 14.5458], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [0.6920, -2.9156, 14.7958], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [0.6920, -2.9156, 15.0458], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [0.6921, -2.9156, 15.2958], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
forward, Pos: [0.6921, -2.9156, 15.5458], Rot: [0.0000, -1.0000, 0.0000, 0.0000]
right, Pos: [0.6921, -2.9156, 15.5458], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [0.6921, -2.9156, 15.5458], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [0.6921, -2.9156, 15.5458], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [0.6921, -2.9156, 15.5458], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [0.4756, -2.9156, 15.4208], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [0.2590, -2.9156, 15.2958], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [0.0425, -2.9156, 15.1708], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [0.0425, -2.9156, 15.1708], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.0825, -2.9156, 14.9543], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.2075, -2.9156, 14.7378], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.3325, -2.9156, 14.5213], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.4575, -2.9156, 14.3048], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.5825, -2.9156, 14.0883], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.7075, -2.9156, 13.8718], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.8325, -2.9156, 13.6553], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-0.9576, -2.9156, 13.4388], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-1.0826, -2.9156, 13.2223], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
