START | Pos: [-2.76623, 0.19817, -2.16161] | Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-2.7662, 0.1982, -2.1616], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-2.7662, 0.1982, -2.1616], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-2.7662, 0.1982, -2.1616], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-2.7662, 0.1982, -2.1616], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-2.7662, 0.1982, -2.1616], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-2.7662, 0.1982, -2.1616], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-2.7662, 0.1982, -2.1616], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-2.7662, 0.1982, -2.1616], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-2.8912, 0.1982, -1.9451], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
forward, Pos: [-3.0162, 0.1982, -1.7286], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-3.0162, 0.1982, -1.7286], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-3.2327, 0.1982, -1.6036], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-3.4492, 0.1982, -1.4786], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-3.6657, 0.1982, -1.3536], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-3.8823, 0.1982, -1.2286], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-4.0988, 0.1982, -1.1036], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-4.3153, 0.1982, -0.9786], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-4.5318, 0.1982, -0.8536], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-4.7483, 0.1982, -0.7286], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-4.9648, 0.1982, -0.6036], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-5.1813, 0.1982, -0.4786], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-5.3978, 0.1982, -0.3536], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-5.6143, 0.1982, -0.2286], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-5.8308, 0.1982, -0.1036], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
stop, Pos: [-5.8308, 0.1982, -0.1036], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
