START | Pos: [-1.2893, 0.1912, -4.75057] | Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-1.2893, 0.1912, -4.7506], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-1.2893, 0.1912, -4.7506], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-1.2893, 0.1912, -4.7506], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-1.2893, 0.1912, -4.7506], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-1.2893, 0.1912, -4.7506], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-1.2893, 0.1912, -4.7506], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-1.2893, 0.1912, -4.7506], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.0393, 0.1912, -4.7506], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-1.0393, 0.1912, -4.7506], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-1.0393, 0.1912, -4.7506], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-1.0393, 0.1912, -4.7506], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [-1.0393, 0.1912, -4.7506], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-1.0393, 0.1912, -4.7506], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-1.0393, 0.1912, -4.7506], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-1.0393, 0.1912, -4.7506], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-1.0393, 0.1912, -4.7506], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-1.0393, 0.1912, -4.7506], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [-1.0393, 0.1912, -4.7506], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-1.0393, 0.1912, -4.7506], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-0.8228, 0.1912, -4.8756], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-0.8228, 0.1912, -4.8756], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-0.8228, 0.1912, -4.8756], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-0.8228, 0.1912, -4.8756], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-0.8228, 0.1912, -4.8756], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-0.8228, 0.1912, -4.8756], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-0.8228, 0.1912, -4.8756], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-0.8228, 0.1912, -4.8756], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-0.8228, 0.1912, -4.8756], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-0.8228, 0.1912, -4.8756], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-0.8228, 0.1912, -4.8756], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-0.8228, 0.1912, -4.8756], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-0.6978, 0.1912, -5.0921], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-0.6978, 0.1912, -5.0921], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-0.6978, 0.1912, -5.0921], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-0.6978, 0.1912, -5.0921], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-0.6978, 0.1912, -5.0921], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-0.6978, 0.1912, -5.0921], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [-0.6978, 0.1912, -5.0921], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-0.6978, 0.1912, -5.0921], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [-0.6978, 0.1912, -5.0921], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-0.6978, 0.1912, -5.0921], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-0.6978, 0.1912, -5.0921], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-0.6978, 0.1912, -5.0921], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
forward, Pos: [-0.6978, 0.1912, -5.3421], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
stop, Pos: [-0.6978, 0.1912, -5.3421], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
