START | Pos: [-11.85938, 0.18997, -11.50831] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-11.8594, 0.1900, -11.5083], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-11.9844, 0.1900, -11.7248], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [-12.1094, 0.1900, -11.9413], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-12.1094, 0.1900, -11.9413], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-12.1094, 0.1900, -12.1913], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-12.1094, 0.1900, -12.4413], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-12.1094, 0.1900, -12.6913], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
forward, Pos: [-12.1094, 0.1900, -12.9413], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-12.1094, 0.1900, -12.9413], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-12.1094, 0.1900, -12.9413], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-12.1094, 0.1900, -12.9413], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-12.1094, 0.1900, -12.9413], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-12.1094, 0.1900, -12.9413], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-12.1094, 0.1900, -12.9413], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [-12.1094, 0.1900, -12.9413], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-12.1094, 0.1900, -12.9413], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-12.1094, 0.1900, -12.9413], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-12.1094, 0.1900, -12.9413], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-11.8929, 0.1900, -13.0663], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-11.6764, 0.1900, -13.1913], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-11.6764, 0.1900, -13.1913], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-11.6764, 0.1900, -13.1913], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [-11.4599, 0.1900, -13.0663], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-11.4599, 0.1900, -13.0663], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-11.2099, 0.1900, -13.0663], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.9599, 0.1900, -13.0663], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.7099, 0.1900, -13.0663], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-10.7099, 0.1900, -13.0663], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-10.4934, 0.1900, -13.1913], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-10.4934, 0.1900, -13.1913], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-10.2434, 0.1900, -13.1913], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.9934, 0.1900, -13.1913], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.7434, 0.1900, -13.1913], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.4934, 0.1900, -13.1913], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-9.2434, 0.1900, -13.1913], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-9.2434, 0.1900, -13.1913], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
stop, Pos: [-9.2434, 0.1900, -13.1913], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
