START | Pos: [-9.11482, 0.18403, -9.8238] | Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-9.3313, 0.1840, -9.6988], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-9.5478, 0.1840, -9.5738], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-9.7643, 0.1840, -9.4488], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-9.9808, 0.1840, -9.3238], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-10.1973, 0.1840, -9.1988], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-10.4139, 0.1840, -9.0738], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-10.6304, 0.1840, -8.9488], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-10.8469, 0.1840, -8.8238], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-11.0634, 0.1840, -8.6988], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-11.2799, 0.1840, -8.5738], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-11.4964, 0.1840, -8.4488], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-11.7129, 0.1840, -8.3238], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-11.9294, 0.1840, -8.1988], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-12.1459, 0.1840, -8.0738], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-12.3624, 0.1840, -7.9488], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-12.5789, 0.1840, -7.8238], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-12.5789, 0.1840, -7.8238], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-12.8289, 0.1840, -7.8238], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-13.0789, 0.1840, -7.8238], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-13.3289, 0.1840, -7.8238], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
stop, Pos: [-13.3289, 0.1840, -7.8238], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
