START | Pos: [-4.80357, 0.09346, -2.25304] | Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, -2.0030], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, -1.7530], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, -1.5030], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, -1.2530], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, -1.0030], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, -0.7530], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, -0.5030], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, -0.2530], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, -0.0030], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, 0.2470], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, 0.4970], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, 0.7470], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, 0.9970], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, 1.2470], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, 1.4970], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, 1.7470], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, 1.9970], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, 2.2470], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, 2.4970], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, 2.7470], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, 2.9970], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, 3.2470], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, 3.4970], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-4.8036, 0.0935, 3.4970], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-4.8036, 0.0935, 3.4970], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-4.8036, 0.0935, 3.4970], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-4.5536, 0.0935, 3.4970], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
stop, Pos: [-4.5536, 0.0935, 3.4970], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
