START | Pos: [3.0061, 0.072447, -2.6786] | Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.7561, 0.0724, -2.6786], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.5061, 0.0724, -2.6786], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [2.5061, 0.0724, -2.6786], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.2896, 0.0724, -2.8036], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [2.0731, 0.0724, -2.9286], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.8566, 0.0724, -3.0535], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.8066, 0.0724, -3.1785], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.8066, 0.0724, -3.3035], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.8066, 0.0724, -3.4285], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.8066, 0.0724, -3.5535], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.8066, 0.0724, -3.6785], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.5900, 0.0724, -3.8035], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [1.3678, 0.0724, -3.8998], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [1.3678, 0.0724, -3.8998], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [1.3678, 0.0724, -3.8998], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [1.3678, 0.0724, -3.8998], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [1.3678, 0.0724, -3.8998], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [1.3678, 0.0724, -3.8998], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [1.5089, 0.0724, -3.7878], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [1.6635, 0.0724, -3.7640], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [1.8066, 0.0724, -3.5475], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [1.9316, 0.0724, -3.3310], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [2.0566, 0.0724, -3.1145], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [2.1816, 0.0724, -2.8980], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
stop, Pos: [2.1816, 0.0724, -2.8980], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
