START | Pos: [-3.11759, 0.19118, -1.75868] | Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-3.1176, 0.1912, -1.7587], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-3.3341, 0.1912, -1.6337], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-3.5506, 0.1912, -1.5087], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-3.7671, 0.1912, -1.3837], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-3.9836, 0.1912, -1.2587], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-4.2001, 0.1912, -1.1337], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-4.2001, 0.1912, -1.1337], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-4.2001, 0.1912, -1.1337], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-4.2001, 0.1912, -1.1337], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-4.2001, 0.1912, -1.1337], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-4.2001, 0.1912, -1.1337], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-4.2001, 0.1912, -1.1337], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-4.2001, 0.1912, -1.1337], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-4.0751, 0.1912, -1.3502], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-3.9501, 0.1912, -1.5667], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-3.8251, 0.1912, -1.7832], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-3.7001, 0.1912, -1.9997], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-3.5751, 0.1912, -2.2162], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-3.4501, 0.1912, -2.4327], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-3.3251, 0.1912, -2.6492], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-3.2001, 0.1912, -2.8657], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-3.0751, 0.1912, -3.0822], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
stop, Pos: [-3.0751, 0.1912, -3.0822], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
