START | Pos: [-9.11482, 0.18403, -9.8238] | Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-9.1148, 0.1840, -9.8238], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-9.1148, 0.1840, -9.8238], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-9.1148, 0.1840, -9.8238], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-9.1148, 0.1840, -9.8238], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-9.1148, 0.1840, -9.8238], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-9.1148, 0.1840, -9.8238], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-9.1148, 0.1840, -9.8238], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [-9.3313, 0.1840, -9.9488], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-9.3313, 0.1840, -9.9488], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-9.3313, 0.1840, -9.9488], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-9.3313, 0.1840, -9.9488], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-9.3313, 0.1840, -9.9488], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-9.3313, 0.1840, -9.9488], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-9.0813, 0.1840, -9.9488], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-8.8313, 0.1840, -9.9488], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-8.5813, 0.1840, -9.9488], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-8.3313, 0.1840, -9.9488], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-8.0813, 0.1840, -9.9488], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-7.8313, 0.1840, -9.9488], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-7.5813, 0.1840, -9.9488], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-7.5813, 0.1840, -9.9488], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-7.3648, 0.1840, -10.0738], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-7.3648, 0.1840, -10.0738], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-7.1148, 0.1840, -10.0738], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-7.1148, 0.1840, -10.0738], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-7.1148, 0.1840, -10.0738], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [-7.1148, 0.1840, -10.0738], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-7.1148, 0.1840, -10.0738], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-7.1148, 0.1840, -10.0738], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-7.1148, 0.1840, -10.0738], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-7.1148, 0.1840, -10.0738], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
