START | Pos: [24.244, -0.5425, -4.02] | Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 1.0000, 0.0000, -0.0000]
left, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [24.2440, -0.5426, -4.0200], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [24.4605, -0.5426, -3.8950], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [24.6770, -0.5426, -3.7700], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [24.8935, -0.5426, -3.6450], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [25.1101, -0.5426, -3.5200], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [25.3266, -0.5426, -3.3951], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [25.5431, -0.5426, -3.2701], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [25.7596, -0.5426, -3.1451], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [25.9761, -0.5426, -3.0201], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [26.1926, -0.5426, -2.8951], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [26.4091, -0.5426, -2.7701], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [26.6256, -0.5426, -2.6451], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [26.8422, -0.5426, -2.5201], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [27.0587, -0.5426, -2.3951], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [27.2752, -0.5426, -2.2702], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [27.4917, -0.5426, -2.1452], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [27.7082, -0.5426, -2.0202], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [27.9247, -0.5426, -1.8952], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [28.1412, -0.5426, -1.7702], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [28.3577, -0.5426, -1.6452], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [28.5743, -0.5426, -1.5202], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
forward, Pos: [28.7908, -0.5426, -1.3952], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [28.7908, -0.5426, -1.3952], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [28.7908, -0.5426, -1.3952], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [28.7908, -0.5426, -1.3952], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [28.7908, -0.5426, -1.3952], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
left, Pos: [28.7908, -0.5426, -1.3952], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [28.7908, -0.5426, -1.3952], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [28.7908, -0.5426, -1.3952], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [28.7908, -0.5426, -1.3952], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [28.5743, -0.5426, -1.2702], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [28.3578, -0.5426, -1.1452], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [28.1413, -0.5426, -1.0202], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [27.9248, -0.5426, -0.8952], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [27.7083, -0.5426, -0.7702], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [27.4918, -0.5426, -0.6452], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [27.2753, -0.5213, -0.5201], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [27.0588, -0.4974, -0.3951], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [26.8423, -0.4735, -0.2701], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [26.6258, -0.4496, -0.1451], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [26.4093, -0.4256, -0.0201], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [26.1928, -0.4343, 0.1049], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [25.9763, -0.4848, 0.2299], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [25.7598, -0.5354, 0.3549], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [25.5433, -0.5426, 0.4799], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [25.3268, -0.5426, 0.6049], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [25.1103, -0.5426, 0.7300], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [24.8938, -0.5426, 0.8550], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [24.6773, -0.4413, 0.9800], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [24.4608, -0.4397, 1.1050], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [24.4608, -0.4397, 1.1050], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [24.3358, -0.4465, 1.3215], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [24.3358, -0.4465, 1.3215], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [24.1193, -0.4616, 1.4465], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [23.9028, -0.4766, 1.5715], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [23.6863, -0.4915, 1.6965], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [23.4698, -0.5065, 1.8215], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [23.2533, -0.5214, 1.9466], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [23.0368, -0.5363, 2.0716], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [22.9084, -0.5426, 2.2105], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [22.8839, -0.5426, 2.3658], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [22.7674, -0.5426, 2.5658], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [22.5509, -0.5355, 2.6908], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [22.3344, -0.5426, 2.8158], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [22.1179, -0.5426, 2.9409], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [21.9014, -0.5426, 3.0659], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [21.6849, -0.5426, 3.1909], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [21.4684, -0.5426, 3.3159], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [21.2519, -0.5426, 3.4409], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [21.0354, -0.5426, 3.5659], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [21.0354, -0.5426, 3.5659], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [21.0354, -0.5426, 3.5659], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [21.0354, -0.5426, 3.5659], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [21.0354, -0.5426, 3.5659], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [21.0354, -0.5426, 3.5659], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [21.0354, -0.5426, 3.5659], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [21.0354, -0.5426, 3.5659], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [21.2854, -0.5426, 3.5659], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
stop, Pos: [21.2854, -0.5426, 3.5659], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
