START | Pos: [7.98935, 0.19575, -12.55098] | Rot: [0.0000, -1.0000, 0.0000, 0.0000]
left, Pos: [7.9893, 0.1957, -12.5510], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [7.9893, 0.1957, -12.5510], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [7.9893, 0.1957, -12.5510], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [7.9893, 0.1957, -12.5510], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [8.2059, 0.1957, -12.6760], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [8.4224, 0.1957, -12.8010], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [8.6389, 0.1957, -12.9260], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [8.8554, 0.1957, -13.0510], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [8.8554, 0.1957, -13.0510], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [8.9804, 0.1957, -13.2675], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [9.1054, 0.1957, -13.4840], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [9.2304, 0.1957, -13.7005], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
stop, Pos: [9.2304, 0.1957, -13.7005], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
