START | Pos: [16.63148, 0.19811, -11.30976] | Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [16.4150, 0.1981, -11.4348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [16.1985, 0.1981, -11.5598], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [16.1985, 0.1981, -11.5598], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [15.9485, 0.1981, -11.5598], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [15.6985, 0.1981, -11.5598], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [15.4485, 0.1981, -11.5598], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [15.4485, 0.1981, -11.5598], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.2320, 0.1981, -11.6848], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [15.0155, 0.1981, -11.8098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [14.7989, 0.1981, -11.9348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [14.5824, 0.1981, -12.0598], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [14.3659, 0.1981, -12.1848], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [14.1494, 0.1981, -12.3098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [13.9329, 0.1981, -12.4348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [13.7164, 0.1981, -12.5598], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [13.4999, 0.1981, -12.6848], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [13.2834, 0.1981, -12.8098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [13.0669, 0.1981, -12.9348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [12.8504, 0.1981, -13.0598], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [12.6339, 0.1981, -13.1848], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [12.4174, 0.1981, -13.3098], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [12.2009, 0.1981, -13.4348], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [11.9844, 0.1981, -13.5598], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [11.9844, 0.1981, -13.5598], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [11.8594, 0.1981, -13.7763], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [11.7344, 0.1981, -13.9928], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [11.6094, 0.1981, -14.2093], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [11.4844, 0.1981, -14.4258], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [11.3594, 0.1981, -14.6423], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [11.2344, 0.1981, -14.8588], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [11.1094, 0.1981, -15.0753], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [10.9844, 0.1981, -15.2918], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [10.8594, 0.1981, -15.5083], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [10.7344, 0.1981, -15.7248], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [10.6094, 0.1981, -15.9413], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [10.6094, 0.1981, -15.9413], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [10.6094, 0.1981, -15.9413], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [10.6094, 0.1981, -15.9413], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [10.6094, 0.1981, -15.9413], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [10.8594, 0.1981, -15.9413], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [11.1094, 0.1981, -15.9413], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [11.3594, 0.1981, -15.9413], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [11.6094, 0.1981, -15.9413], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [11.8594, 0.1981, -15.9413], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [12.1094, 0.1981, -15.9413], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [12.3594, 0.1981, -15.9413], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [12.6094, 0.1981, -15.9413], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [12.6094, 0.1981, -15.9413], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [12.6094, 0.1981, -15.9413], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [12.6094, 0.1981, -15.9413], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [12.6094, 0.1981, -15.9413], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [12.6094, 0.1981, -15.9413], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [12.6094, 0.1981, -15.9413], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [12.6094, 0.1981, -15.9413], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [12.6094, 0.1981, -15.9413], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [12.6094, 0.1981, -15.9413], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
right, Pos: [12.6094, 0.1981, -15.9413], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [12.6094, 0.1981, -15.9413], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [12.8259, 0.1981, -16.0663], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [12.8259, 0.1981, -16.0663], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [13.0759, 0.1981, -16.0663], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [13.3259, 0.1981, -16.0663], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [13.5759, 0.1981, -16.0663], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [13.5759, 0.1981, -16.0663], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [13.7924, 0.1981, -15.9413], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
forward, Pos: [14.0089, 0.1981, -15.8163], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [14.0089, 0.1981, -15.8163], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [14.0089, 0.1981, -15.8163], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [14.0089, 0.1981, -15.5663], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [14.0089, 0.1981, -15.3163], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
forward, Pos: [14.0089, 0.1981, -15.0663], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [14.0089, 0.1981, -15.0663], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [13.8839, 0.1981, -14.8498], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
forward, Pos: [13.7589, 0.1981, -14.6333], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [13.7589, 0.1981, -14.6333], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [13.7589, 0.1981, -14.6333], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [13.7589, 0.1981, -14.6333], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [13.7589, 0.1981, -14.6333], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [13.7589, 0.1981, -14.6333], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [13.7589, 0.1981, -14.6333], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
left, Pos: [13.7589, 0.1981, -14.6333], Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [13.7589, 0.1981, -14.6333], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [13.7589, 0.1981, -14.6333], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [13.7589, 0.1981, -14.6333], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [13.7589, 0.1981, -14.6333], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [13.5424, 0.1981, -14.5083], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [13.3259, 0.1981, -14.3833], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [13.1094, 0.1981, -14.2583], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [12.8929, 0.1981, -14.1333], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [12.6764, 0.1981, -14.0083], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [12.4598, 0.1981, -13.8833], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
right, Pos: [12.4598, 0.1981, -13.8833], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [12.4598, 0.1981, -13.8833], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [12.4598, 0.1981, -13.8833], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
forward, Pos: [12.3348, 0.1981, -14.0998], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
