START | Pos: [-13.707, 0.08012, 8.04988] | Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
left, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-13.7070, 0.0801, 8.0499], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-13.5820, 0.0801, 7.8334], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-13.5820, 0.0801, 7.8334], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-13.3655, 0.0801, 7.7084], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-13.3655, 0.0801, 7.7084], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-13.2405, 0.0801, 7.4918], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-13.2405, 0.0801, 7.4918], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [-13.0240, 0.0801, 7.3668], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
left, Pos: [-13.0240, 0.0801, 7.3668], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-12.9039, 0.0801, 7.2431], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-12.7906, 0.0801, 7.2490], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-12.6774, 0.0801, 7.2550], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [-12.5641, 0.0801, 7.2610], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [-12.5641, 0.0801, 7.2610], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
right, Pos: [-12.5641, 0.0801, 7.2610], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-12.3141, 0.0801, 7.2609], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-12.0641, 0.0801, 7.2609], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
stop, Pos: [-12.0641, 0.0801, 7.2609], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
