START | Pos: [-4.80357, 0.09346, -2.25304] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
forward, Pos: [-4.6786, 0.0935, -2.0365], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-4.6786, 0.0935, -2.0365], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-4.6786, 0.0935, -2.0365], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-4.6786, 0.0935, -2.0365], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-4.6786, 0.0935, -2.0365], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-4.5536, 0.0935, -2.2530], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-4.4286, 0.0935, -2.4695], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-4.3036, 0.0935, -2.6861], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-4.1786, 0.0935, -2.9026], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-4.0536, 0.0935, -3.1191], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-3.9286, 0.0935, -3.3356], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-3.8036, 0.0935, -3.5521], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-3.6786, 0.0935, -3.7686], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
stop, Pos: [-3.6786, 0.0935, -3.7686], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
