START | Pos: [16.63148, 0.19811, -11.30976] | Rot: [0.0000, 0.0000, 0.0000, 1.0000]
left, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [16.6315, 0.1981, -11.3098], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [16.3815, 0.1981, -11.3098], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [16.1315, 0.1981, -11.3098], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [16.1315, 0.1981, -11.3098], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.9150, 0.1981, -11.4348], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.6985, 0.1981, -11.5598], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [15.6985, 0.1981, -11.5598], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [15.4485, 0.1981, -11.5598], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [15.4485, 0.1981, -11.5598], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.2320, 0.1981, -11.6848], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [15.0155, 0.1981, -11.8098], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.7989, 0.1981, -11.9348], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.5824, 0.1981, -12.0598], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.3659, 0.1981, -12.1848], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [14.1494, 0.1981, -12.3098], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.9329, 0.1981, -12.4348], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.7164, 0.1981, -12.5598], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.4999, 0.1981, -12.6848], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.2834, 0.1981, -12.8098], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [13.0669, 0.1981, -12.9348], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [12.8504, 0.1981, -13.0598], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [12.6339, 0.1981, -13.1848], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [12.4174, 0.1981, -13.3098], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [12.2009, 0.1981, -13.4348], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [11.9844, 0.1981, -13.5598], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [11.7679, 0.1981, -13.6848], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [11.5514, 0.1981, -13.8098], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [11.3349, 0.1981, -13.9348], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [11.1183, 0.1981, -14.0598], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
forward, Pos: [10.9018, 0.1981, -14.1848], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
stop, Pos: [10.9018, 0.1981, -14.1848], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
