START | Pos: [3.18055, 0.18678, -3.51576] | Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.9640, 0.1868, -3.3908], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.7475, 0.1868, -3.2658], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.5310, 0.1868, -3.1408], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [2.3145, 0.1868, -3.0158], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [2.3145, 0.1868, -3.0158], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.0645, 0.1868, -3.0158], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.8145, 0.1868, -3.0158], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.5645, 0.1868, -3.0158], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.3145, 0.1868, -3.0158], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.0645, 0.1868, -3.0158], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.8145, 0.1868, -3.0158], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.5645, 0.1868, -3.0158], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.3145, 0.1868, -3.0158], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.0645, 0.1868, -3.0158], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-0.1855, 0.1868, -3.0158], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-0.1855, 0.1868, -3.0158], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-0.4020, 0.1868, -2.8908], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
forward, Pos: [-0.6185, 0.1868, -2.7658], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-0.6185, 0.1868, -2.7658], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-0.8685, 0.1868, -2.7658], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
stop, Pos: [-0.8685, 0.1868, -2.7658], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
