START | Pos: [4.965, -2.8789, -0.03949] | Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.7150, -2.8791, -0.0395], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.4650, -2.8791, -0.0395], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [4.2150, -2.8791, -0.0395], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [3.9650, -2.8791, -0.0394], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [3.7150, -2.8791, -0.0394], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [3.4650, -2.8791, -0.0394], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [3.2150, -2.8791, -0.0394], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.9650, -2.8791, -0.0394], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.7150, -2.8791, -0.0394], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.4650, -2.7575, -0.0394], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [2.2150, -2.7476, -0.0394], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [1.9650, -2.7809, -0.0393], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [1.7150, -2.8143, -0.0393], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [1.4650, -2.8476, -0.0393], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [1.2150, -2.8791, -0.0393], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [0.9650, -2.8791, -0.0393], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [0.7150, -2.8791, -0.0393], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [0.4650, -2.8791, -0.0393], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [0.2150, -2.8791, -0.0393], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
forward, Pos: [-0.0350, -2.8791, -0.0392], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
right, Pos: [-0.0350, -2.8791, -0.0392], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
right, Pos: [-0.0350, -2.8791, -0.0392], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
right, Pos: [-0.0350, -2.8791, -0.0392], Rot: [0.0000, 0.0000, 0.0000, 1.0000]
right, Pos: [-0.0350, -2.8791, -0.0392], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [0.0900, -2.8791, -0.2558], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [0.2150, -2.8791, -0.4723], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [0.3400, -2.8791, -0.6888], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
forward, Pos: [0.4650, -2.8791, -0.9053], Rot: [0.0000, -0.2588, 0.0000, 0.9659]
right, Pos: [0.4650, -2.8791, -0.9053], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [0.6815, -2.8791, -1.0303], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [0.8980, -2.8791, -1.1553], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [1.1145, -2.8791, -1.2803], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [1.3310, -2.8791, -1.4053], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [1.5475, -2.8791, -1.5303], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [1.7640, -2.8791, -1.6554], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [1.9805, -2.8791, -1.7804], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [2.1970, -2.8791, -1.9054], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [2.4135, -2.8791, -2.0304], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [2.6300, -2.8791, -2.1554], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [2.8465, -2.9289, -2.2804], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [3.0630, -2.9870, -2.4054], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [3.2795, -3.0451, -2.5304], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [3.4960, -3.0791, -2.6554], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [3.7125, -2.9780, -2.7805], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
forward, Pos: [3.9290, -2.9647, -2.9055], Rot: [0.0000, -0.5000, 0.0000, 0.8660]
