START | Pos: [-4.80357, 0.09346, -2.25304] | Rot: [0.0000, -0.0000, 0.0000, 1.0000]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.2588, 0.0000, 0.9659]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.5000, 0.0000, 0.8660]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.7071, 0.0000, 0.7071]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
left, Pos: [-4.8036, 0.0935, -2.2530], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, -2.0030], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-4.8036, 0.0935, -1.7530], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [-4.8036, 0.0935, -1.7530], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-4.8036, 0.0935, -1.7530], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-5.0201, 0.0935, -1.6280], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
forward, Pos: [-5.2366, 0.0935, -1.5030], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
stop, Pos: [-5.2366, 0.0935, -1.5030], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
