START | Pos: [-15.0493, 0.19683, -8.40716] | Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-15.0493, 0.1968, -8.4072], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-15.0493, 0.1968, -8.1572], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-15.0493, 0.1968, -8.1572], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-15.0493, 0.1968, -8.1572], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-15.0493, 0.1968, -8.1572], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-15.0493, 0.1968, -8.1572], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-15.0493, 0.1968, -8.1572], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
right, Pos: [-15.0493, 0.1968, -8.1572], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
right, Pos: [-15.0493, 0.1968, -8.1572], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
right, Pos: [-15.0493, 0.1968, -8.1572], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
right, Pos: [-15.0493, 0.1968, -8.1572], Rot: [0.0000, 0.9659, 0.0000, 0.2588]
right, Pos: [-15.0493, 0.1968, -8.1572], Rot: [0.0000, 0.8660, 0.0000, 0.5000]
