START | Pos: [13.55902, 0.12711, 1.6699] | Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [13.3090, 0.1271, 1.6699], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [13.0590, 0.1271, 1.6699], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [12.8090, 0.1271, 1.6699], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [12.5590, 0.1271, 1.6699], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [12.3090, 0.1271, 1.6700], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [12.0590, 0.1271, 1.6700], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [11.8090, 0.1271, 1.6700], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [11.5590, 0.1271, 1.6700], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [11.3090, 0.1271, 1.6700], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [11.0590, 0.1271, 1.6700], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [10.8090, 0.1271, 1.6700], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [10.5590, 0.1271, 1.6700], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [10.3090, 0.1271, 1.6701], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [10.0590, 0.1271, 1.6701], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [9.8090, 0.1271, 1.6701], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [9.5590, 0.1271, 1.6701], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [9.3090, 0.1271, 1.6701], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [9.0590, 0.1271, 1.6701], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.8090, 0.1271, 1.6701], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.5590, 0.1271, 1.6701], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.3090, 0.1271, 1.6702], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [8.0590, 0.1271, 1.6702], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.8090, 0.1271, 1.6702], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.5590, 0.1271, 1.6702], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.3090, 0.1271, 1.6702], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [7.0590, 0.1271, 1.6702], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.8090, 0.1271, 1.6702], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.5590, 0.1271, 1.6702], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.3090, 0.1271, 1.6703], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [6.0590, 0.1271, 1.6703], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.8090, 0.1271, 1.6703], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.5590, 0.1271, 1.6703], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.3090, 0.1271, 1.6703], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [5.0590, 0.1271, 1.6703], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.8090, 0.1271, 1.6703], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.5590, 0.1271, 1.6703], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.3090, 0.1271, 1.6704], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [4.0590, 0.1271, 1.6704], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.8090, 0.1271, 1.6704], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.5590, 0.1271, 1.6704], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.3090, 0.1271, 1.6704], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [3.0590, 0.1271, 1.6704], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.8090, 0.1271, 1.6704], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.5590, 0.1271, 1.6704], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.3090, 0.1271, 1.6705], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [2.0590, 0.1271, 1.6705], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.8090, 0.1271, 1.6705], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.5590, 0.1271, 1.6705], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.3090, 0.1271, 1.6705], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [1.0590, 0.1271, 1.6705], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.8090, 0.1271, 1.6705], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.5590, 0.1271, 1.6705], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.3090, 0.1271, 1.6706], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [0.0590, 0.1271, 1.6706], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-0.1910, 0.1271, 1.6706], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-0.4410, 0.1271, 1.6706], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-0.6910, 0.1271, 1.6706], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-0.9410, 0.1271, 1.6706], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-1.1910, 0.1271, 1.6706], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-1.4410, 0.1271, 1.6706], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-1.4410, 0.1271, 1.6706], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-1.6575, 0.1271, 1.5457], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-1.8740, 0.1271, 1.4207], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-1.8740, 0.1271, 1.4207], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-2.1240, 0.1271, 1.4207], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-2.3740, 0.1271, 1.4207], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-2.3740, 0.1271, 1.4207], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-2.5905, 0.1271, 1.2957], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-2.8070, 0.1271, 1.1707], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-3.0235, 0.1271, 1.0457], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-3.2401, 0.1271, 0.9207], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-3.4566, 0.1271, 0.7957], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-3.4566, 0.1271, 0.7957], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
forward, Pos: [-3.7066, 0.1271, 0.7958], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-3.7066, 0.1271, 0.7958], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-3.9231, 0.1271, 0.6708], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.1396, 0.1271, 0.5458], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.3561, 0.1271, 0.4208], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-4.5726, 0.1271, 0.2958], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-4.5726, 0.1271, 0.2958], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-4.5726, 0.1271, 0.2958], Rot: [0.0000, -0.0000, 0.0000, -1.0000]
right, Pos: [-4.5726, 0.1271, 0.2958], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-4.4476, 0.1271, 0.0793], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-4.4033, 0.1271, -0.1372], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-4.2783, 0.1271, -0.3537], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
forward, Pos: [-4.1533, 0.1271, -0.5703], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-4.1533, 0.1271, -0.5703], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-3.9368, 0.1271, -0.6953], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
right, Pos: [-3.9368, 0.1271, -0.6953], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.6868, 0.1271, -0.6953], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.4368, 0.1271, -0.6953], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-3.1868, 0.1271, -0.6953], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.9368, 0.1271, -0.6953], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.6868, 0.1271, -0.6953], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.4368, 0.1271, -0.6953], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-2.1868, 0.1271, -0.6953], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.9368, 0.1271, -0.6954], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.6868, 0.1271, -0.6954], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.4368, 0.1271, -0.6954], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-1.1868, 0.1271, -0.6954], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.9368, 0.1271, -0.6954], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.6868, 0.1271, -0.6954], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.4368, 0.1271, -0.6954], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [-0.1868, 0.1271, -0.6954], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.0632, 0.1271, -0.6955], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.3132, 0.1271, -0.6955], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.5632, 0.1271, -0.6955], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [0.7824, 0.1271, -0.7879], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [1.0324, 0.1271, -0.8094], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
forward, Pos: [1.2824, 0.1271, -0.8094], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
