START | Pos: [-14.46642, 0.18403, -6.48453] | Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -6.2345], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -5.9845], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -5.7345], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -5.4845], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -5.2345], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -4.9845], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -4.7345], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -4.4845], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -4.2345], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -3.9845], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -3.7345], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
forward, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, 1.0000, 0.0000, 0.0000]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, 0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, 0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, 0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
left, Pos: [-14.4664, 0.1840, -3.4845], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-14.2164, 0.1840, -3.4845], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
forward, Pos: [-13.9664, 0.1840, -3.4845], Rot: [0.0000, -0.7071, 0.0000, 0.7071]
right, Pos: [-13.9664, 0.1840, -3.4845], Rot: [0.0000, -0.8660, 0.0000, 0.5000]
right, Pos: [-13.9664, 0.1840, -3.4845], Rot: [0.0000, -0.9659, 0.0000, 0.2588]
right, Pos: [-13.9664, 0.1840, -3.4845], Rot: [0.0000, -1.0000, 0.0000, -0.0000]
right, Pos: [-13.9664, 0.1840, -3.4845], Rot: [0.0000, -0.9659, 0.0000, -0.2588]
right, Pos: [-13.9664, 0.1840, -3.4845], Rot: [0.0000, -0.8660, 0.0000, -0.5000]
right, Pos: [-13.9664, 0.1840, -3.4845], Rot: [0.0000, -0.7071, 0.0000, -0.7071]
right, Pos: [-13.9664, 0.1840, -3.4845], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-13.9664, 0.1840, -3.4845], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-14.0914, 0.1840, -3.7010], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-14.2164, 0.1840, -3.9175], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
forward, Pos: [-14.3414, 0.1840, -4.1340], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
left, Pos: [-14.3414, 0.1840, -4.1340], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-14.5579, 0.1840, -4.2590], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
forward, Pos: [-14.7744, 0.1840, -4.3840], Rot: [0.0000, -0.5000, 0.0000, -0.8660]
right, Pos: [-14.7744, 0.1840, -4.3840], Rot: [0.0000, -0.2588, 0.0000, -0.9659]
right, Pos: [-14.7744, 0.1840, -4.3840], Rot: [0.0000, 0.0000, 0.0000, -1.0000]
right, Pos: [-14.7744, 0.1840, -4.3840], Rot: [0.0000, 0.2588, 0.0000, -0.9659]
right, Pos: [-14.7744, 0.1840, -4.3840], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
forward, Pos: [-14.5579, 0.1840, -4.5090], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
stop, Pos: [-14.5579, 0.1840, -4.5090], Rot: [0.0000, 0.5000, 0.0000, -0.8660]
