scene_file_name,question,answer,answer_pred,time,distance
102816627,"How many pieces of chairs are in the scene? Answer with one option from [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10+], e.g., 0",7,4.,0.4888803958892822,5.677181482486414e-08
102816627,"How many lamps are in the scene? Answer with one option from [0, 1, 2, 3, 4, 5, 6+], e.g., 0",5,2.,0.4769899845123291,5.677181482486414e-08
102816627,"To map the overall layout, where is the primary sofa located? Answer with the format 'ROOM, POSITION, NEARBY_OBJECT' separated by commas. Choose from: ROOM: [living room, kitchen, bedroom, bathroom, dining room, hallway, office, basement], POSITION: [center, left wall, right wall, corner, near window, near door, by fireplace, floating], NEARBY_OBJECT: [table, chair, lamp, bookshelf, TV, plant, cabinet, none], e.g., ROOM: bathroom, POSITION: left wall, NEARBY_OBJECT: bookshelf","ROOM: living room, POSITION: center, NEARBY_OBJECT: table","living room, left forward forward forward",3.728440284729004,4.250000056771815
102816627,"What are the specific properties of the coffee table? Answer with the format 'OBJECT, COLOR, MATERIAL, SIZE' separated by commas. Choose from: OBJECT: [coffee table, side table, dining table, end table, console table, desk], COLOR: [brown, black, white, glass, gray, beige, red, blue, green, yellow], MATERIAL: [wood, metal, glass, plastic, fabric, leather, ceramic, stone, rubber, none], SIZE: [small, medium, large, very large], e.g., OBJECT: coffee table, COLOR: brown, MATERIAL: wood, SIZE: small","OBJECT: coffee table, COLOR: black, MATERIAL: ceramic, SIZE: medium","OBJECT: coffee table, MATERIAL: wood, SIZE: large",1.859229326248169,1.9999999202251448
102816627,"What is the colors of the throw pillows on the sofa? Answer with the format 'OBJECT, COLOR' separated by a comma. Choose from: OBJECT: [throw pillow, cushion, blanket, fabric, stuffing], COLOR: [red, blue, green, yellow, orange, purple, pink, brown, black, white], e.g., OBJECT: throw pillow, COLOR: red","OBJECT: throw pillow, COLOR: white, brown","OBJECT: throw pillow, COLOR: black",1.528259515762329,1.7500000865741372
102816627,"How tall is the bookshelf? Answer with one option from [1-2 ft (low), 2-3 ft (medium), 4-5 ft (high), 6+ (very high)], e.g., 1-2 ft (low)",6+ (very high),4-5 ft (high),1.001500129699707,0.9999999527961254
102816627,"What is the spatial relationship between the plant and the sofa? Answer with the format 'OBJECT1, RELATION, OBJECT2' separated by commas. Choose from: OBJECT1: [plant, table, chair, TV, bookshelf, coffee table, pillow, remote], RELATION: [in front of, behind, to the left of, to the right of, next to, above, below, across from, diagonal from, between], OBJECT2: [sofa, chair, table, TV, bookshelf, wall, window, door], e.g., OBJECT1: plant, RELATION: in front of, OBJECT2: sofa","OBJECT1: plant, RELATION: next to, OBJECT2: sofa","plant, in front of sofa",1.0669822692871094,0.9999999527961254
102816627,"What is the most direct path from the sofa to the bookshelf? Answer with the format 'STEP1, STEP2, STEP3' separated by commas. Choose from: STEP1: [stand up from sofa, sit on sofa, lie on sofa, move pillow, adjust lighting], STEP2: [walk around table, walk through table, walk through hallway], STEP3: [reach bookshelf, reach TV, reach lamp, reach window, reach door], e.g., STEP1: stand up from sofa, STEP2: walk around table, STEP3: reach bookshelf","STEP1: stand up from sofa, STEP2: walk through hallway, STEP3: reach bookshelf","STEP1: stand up from sofa, STEP2: walk around table, STEP3: reach bookshelf",82.11099982261658,100.00000193465056
102816627,"Based on a functional analysis, what items provide illumination in this space? List all that apply, separated by commas. Choose from [floor lamp, table lamp, ceiling light, TV screen, window light, candles, fireplace, chandelier, none], e.g., floor lamp","LIGHTING: floor lamp, table lamp, chandelier, ceiling light","window light, ceiling light, floor lamp",1.4059855937957764,1.5000000624752756
102816627,"What conceptual groupings of seating are present in the living room? Answer with the format 'SEATING_TYPE, NUMBER' separated by a comma. Choose from: SEATING: [sofa, chair, bean bags, floor cushions, recliner, bench], NUMBER: [1, 2, 3, 4, 5, 6+], e.g., SEATING: sofa, NUMBER: 1","SEATING: sofa, NUMBER: 1, SEATING: chair, NUMBER: 2","SEATING: chair, NUMBER: 2",3.678438186645508,5.250000280289233
